Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
5.336092E+2	1.250000E-3	3.151952E-2	2.753267E-3	1.588570E+9	6.123950E+7	3.655733E-2	3.829116E-3	1.053886E+8	2.872592E+6	3.290730E-2	3.215551E-3	1.607530E+9	7.770169E+7	3.412331E-2	6.343122E-3	1.034956E+8	6.362367E+6	3.417422E-2	2.864244E-3	1.657825E+10	6.183012E+8	3.365625E-2	3.102120E-3	1.657237E+10	7.033590E+8	3.405959E-2	2.891774E-3	1.818578E+10	6.956901E+8	3.346425E-2	3.069384E-3	1.816094E+10	7.642358E+8	5.037805E-3	3.277210E-3	1.216010E-3	3.291682E-3	2.434010E-3	6.523447E-3	3.821795E-3	5.810642E-3	3.093073E-3	3.599847E-3	-1.483181E+9	5.965635E+7	-1.504035E+9	7.156857E+7	1.892957E+6	6.235707E+6	2.085335E+7	1.363472E+7	-1.805555E+10	7.627971E+8	0.000000E+0	0.000000E+0
5.337670E+2	5.787918E-3	4.192543E-2	3.195858E-3	1.788648E+9	6.968168E+7	5.527393E-2	7.787173E-3	1.281829E+8	1.016566E+7	4.325663E-2	3.535480E-3	1.806483E+9	8.065320E+7	5.095466E-2	2.683598E-3	1.238621E+8	2.083470E+6	4.362598E-2	3.254366E-3	1.840637E+10	6.930569E+8	4.279838E-2	3.130368E-3	1.835224E+10	6.958863E+8	4.359256E-2	3.278988E-3	2.021285E+10	7.734740E+8	4.271989E-2	3.103435E-3	2.014089E+10	7.594057E+8	1.334850E-2	6.208898E-3	7.698027E-3	1.302051E-3	4.319277E-3	6.783862E-3	5.650473E-3	7.422353E-3	1.255404E-2	5.705847E-3	-1.660466E+9	6.154923E+7	-1.682621E+9	7.901306E+7	4.320810E+6	8.278095E+6	2.215547E+7	3.487824E+7	-2.001270E+10	7.503356E+8	0.000000E+0	0.000000E+0
5.339103E+2	1.250000E-3	5.511979E-2	7.108182E-3	2.043049E+9	1.497886E+8	8.001765E-2	1.158731E-2	1.577385E+8	1.276281E+7	5.394951E-2	4.929225E-3	2.013166E+9	1.131932E+8	5.232649E-2	7.365826E-3	1.254487E+8	7.681510E+6	5.816190E-2	6.682731E-3	2.121779E+10	1.366731E+9	5.588540E-2	6.095026E-3	2.090272E+10	1.292155E+9	5.778013E-2	6.519203E-3	2.323095E+10	1.478586E+9	5.581657E-2	6.179072E-3	2.294577E+10	1.441283E+9	2.489786E-2	6.543326E-3	-1.623017E-3	5.064418E-3	2.769116E-2	8.694525E-3	2.652088E-2	8.631963E-3	2.420108E-2	6.339314E-3	-1.885310E+9	1.387158E+8	-1.887717E+9	1.078746E+8	3.228980E+7	1.015010E+7	2.406805E+6	4.117146E+7	-2.278803E+10	1.429610E+9	0.000000E+0	0.000000E+0
5.340640E+2	0.000000E+0	8.044283E-2	9.774525E-3	2.529115E+9	1.966151E+8	1.132757E-1	1.881221E-2	1.976122E+8	2.107494E+7	8.227729E-2	8.910973E-3	2.557012E+9	1.799553E+8	8.865423E-2	1.361906E-2	1.691676E+8	1.403705E+7	8.594479E-2	9.911159E-3	2.657809E+10	1.918833E+9	8.276343E-2	9.461230E-3	2.612291E+10	1.866660E+9	8.561238E-2	9.818017E-3	2.913510E+10	2.098505E+9	8.255473E-2	9.473152E-3	2.865202E+10	2.060831E+9	3.283291E-2	1.023107E-2	6.376944E-3	5.130452E-3	2.462150E-2	5.389043E-3	2.645596E-2	5.103993E-3	3.072100E-2	9.778546E-3	-2.331503E+9	1.772257E+8	-2.387844E+9	1.662006E+8	2.844455E+7	7.132793E+6	5.634170E+7	3.556219E+7	-2.845441E+10	2.040489E+9	0.000000E+0	0.000000E+0
5.342077E+2	1.250000E-3	1.181098E-1	1.583934E-2	3.253419E+9	3.136618E+8	1.771009E-1	2.694738E-2	2.755247E+8	3.244531E+7	1.167067E-1	1.486408E-2	3.221713E+9	3.036561E+8	1.149162E-1	1.354152E-2	2.011038E+8	1.523360E+7	1.253321E-1	1.642612E-2	3.420353E+10	3.231018E+9	1.188790E-1	1.512968E-2	3.316661E+10	3.030805E+9	1.245509E-1	1.628166E-2	3.742524E+10	3.534061E+9	1.188099E-1	1.519305E-2	3.642003E+10	3.344403E+9	5.899115E-2	1.373018E-2	-1.790523E-3	4.963265E-3	6.218472E-2	1.852370E-2	6.078168E-2	1.848750E-2	5.829097E-2	1.401297E-2	-2.977894E+9	2.838932E+8	-3.020609E+9	2.892882E+8	7.442083E+7	2.221010E+7	4.271468E+7	3.663831E+7	-3.614451E+10	3.314162E+9	0.000000E+0	0.000000E+0
5.343575E+2	1.443376E-3	1.905426E-1	2.982521E-2	4.644379E+9	5.772853E+8	2.930987E-1	3.840771E-2	4.153197E+8	4.555116E+7	1.893020E-1	2.811964E-2	4.616716E+9	5.481761E+8	1.860557E-1	3.218501E-2	2.868952E+8	3.727586E+7	2.053659E-1	3.163773E-2	4.965215E+10	6.082061E+9	1.941095E-1	2.946504E-2	4.778986E+10	5.734324E+9	2.039106E-1	3.131837E-2	5.426886E+10	6.630229E+9	1.937889E-1	2.948621E-2	5.243424E+10	6.309536E+9	1.025561E-1	9.159384E-3	-3.246318E-3	6.176794E-3	1.070430E-1	8.016211E-3	1.058024E-1	5.432662E-3	9.930984E-2	9.644232E-3	-4.229059E+9	5.321940E+8	-4.329820E+9	5.114491E+8	1.284245E+8	1.000755E+7	1.007615E+8	3.526880E+7	-5.201891E+10	6.264494E+9	0.000000E+0	0.000000E+0
5.345120E+2	2.614065E-3	3.294038E-1	5.574332E-2	7.312768E+9	1.072350E+9	4.770898E-1	8.352243E-2	6.373312E+8	9.971370E+7	3.266811E-1	5.471060E-2	7.262127E+9	1.061619E+9	3.379971E-1	5.615350E-2	4.699982E+8	6.479455E+7	3.525206E-1	5.941823E-2	7.809533E+10	1.143350E+10	3.333372E-1	5.601404E-2	7.488831E+10	1.088092E+10	3.501799E-1	5.898898E-2	8.535746E+10	1.249484E+10	3.329837E-1	5.598902E-2	8.220107E+10	1.195322E+10	1.476860E-1	2.820942E-2	1.131611E-2	8.356086E-3	1.390926E-1	3.107711E-2	1.363699E-1	2.979527E-2	1.441061E-1	2.807880E-2	-6.675437E+9	9.731673E+8	-6.792129E+9	9.972725E+8	1.673331E+8	3.850128E+7	1.166917E+8	4.474389E+7	-8.156374E+10	1.185402E+10	0.000000E+0	0.000000E+0
5.346695E+2	5.951190E-3	5.573062E-1	1.004303E-1	1.169399E+10	1.931100E+9	7.331500E-1	1.098131E-1	9.470789E+8	1.311110E+8	5.550677E-1	9.851015E-2	1.165979E+10	1.905361E+9	5.600456E-1	1.009606E-1	7.385440E+8	1.200776E+8	5.824954E-1	1.018125E-1	1.225497E+11	1.959593E+10	5.554736E-1	9.871529E-2	1.181340E+11	1.917828E+10	5.800115E-1	1.015108E-1	1.342095E+11	2.150104E+10	5.556383E-1	9.886811E-2	1.298280E+11	2.110923E+10	1.758438E-1	9.940399E-3	4.977876E-3	7.065587E-3	1.731044E-1	1.161735E-2	1.708659E-1	9.460105E-3	1.775117E-1	1.157279E-2	-1.074691E+10	1.800392E+9	-1.092125E+10	1.785412E+9	2.085351E+8	1.558492E+7	1.743293E+8	1.901976E+7	-1.288809E+11	2.097854E+10	0.000000E+0	0.000000E+0
5.348098E+2	2.750000E-3	8.471728E-1	1.400743E-1	1.726626E+10	2.688611E+9	1.018262E+0	1.483511E-1	1.290480E+9	1.738668E+8	8.419901E-1	1.387379E-1	1.718603E+10	2.682733E+9	8.485493E-1	1.367816E-1	1.086921E+9	1.629345E+8	8.750927E-1	1.393870E-1	1.791258E+11	2.680507E+10	8.465489E-1	1.380420E-1	1.748118E+11	2.678811E+10	8.720956E-1	1.393216E-1	1.963118E+11	2.948711E+10	8.466051E-1	1.382229E-1	1.920780E+11	2.947640E+10	1.710889E-1	1.901948E-2	6.559155E-3	5.829952E-3	1.697124E-1	1.788542E-2	1.645298E-1	1.603457E-2	1.716565E-1	2.125824E-2	-1.597578E+10	2.515309E+9	-1.609910E+10	2.519802E+9	2.035587E+8	1.869730E+7	1.233269E+8	3.931044E+7	-1.907875E+11	2.930329E+10	0.000000E+0	0.000000E+0
5.349605E+2	1.443376E-3	1.231683E+0	1.745541E-1	2.466527E+10	3.363389E+9	1.392571E+0	1.649304E-1	1.744288E+9	1.956392E+8	1.240245E+0	1.737122E-1	2.485904E+10	3.367403E+9	1.245680E+0	1.770867E-1	1.566560E+9	2.111456E+8	1.254183E+0	1.695499E-1	2.525079E+11	3.276815E+10	1.228436E+0	1.700537E-1	2.492454E+11	3.312192E+10	1.252923E+0	1.699221E-1	2.773669E+11	3.613465E+10	1.228729E+0	1.704531E-1	2.739107E+11	3.648436E+10	1.608881E-1	1.613213E-2	5.434642E-3	1.540741E-2	1.468914E-1	1.736205E-2	1.554534E-1	2.213449E-2	1.638427E-1	1.105032E-2	-2.292099E+10	3.168735E+9	-2.329248E+10	3.156535E+9	1.777279E+8	2.548614E+7	3.714942E+8	1.589760E+8	-2.721664E+11	3.628927E+10	0.000000E+0	0.000000E+0
