Delay [ns]	StS norm
-2.857000e+01	8.970015e+06
-2.827000e+01	1.119070e+07
-2.822000e+01	-3.772775e+06
-2.812000e+01	-1.185516e+07
-2.802000e+01	1.690443e+06
-2.797000e+01	-4.933490e+07
-2.794500e+01	-9.900245e+06
-2.792000e+01	3.485120e+06
-2.789500e+01	-1.117111e+07
-2.787000e+01	-3.854727e+06
-2.784500e+01	6.888915e+05
-2.782000e+01	7.536742e+05
-2.779500e+01	-2.207783e+07
-2.777000e+01	-4.914043e+07
-2.772000e+01	-1.084463e+07
-2.762000e+01	-4.854370e+06
-2.752000e+01	-1.288905e+07
-2.747000e+01	-2.258982e+06
-2.717000e+01	-1.648849e+07
-2.687000e+01	-1.787159e+06
-2.657000e+01	1.244697e+07
-2.627000e+01	3.193595e+07
-2.622000e+01	9.459969e+06
-2.612000e+01	1.409652e+07
-2.602000e+01	-9.892270e+06
-2.597000e+01	1.008862e+07
-2.594500e+01	-1.376426e+07
-2.592000e+01	-1.901702e+07
-2.589500e+01	-7.728592e+06
-2.587000e+01	1.114380e+07
-2.584500e+01	9.099468e+06
-2.582000e+01	3.806111e+07
-2.579500e+01	-8.636365e+06
-2.577000e+01	-2.055387e+07
-2.572000e+01	1.032293e+07
-2.562000e+01	-2.212920e+07
-2.552000e+01	-9.938356e+06
-2.547000e+01	-1.579158e+06
-2.517000e+01	-2.281530e+07
-2.487000e+01	-1.714644e+07
-2.457000e+01	-1.243051e+07
-2.427000e+01	-1.383321e+07
-2.422000e+01	1.546324e+07
-2.412000e+01	1.900952e+07
-2.402000e+01	-3.811294e+06
-2.397000e+01	2.295602e+07
-2.394500e+01	-1.972563e+07
-2.392000e+01	1.684813e+07
-2.389500e+01	1.030288e+07
-2.387000e+01	3.406602e+07
-2.384500e+01	2.146325e+07
-2.382000e+01	-1.471933e+06
-2.379500e+01	-6.796672e+06
-2.377000e+01	2.209014e+07
-2.372000e+01	3.683900e+04
-2.362000e+01	1.389378e+07
-2.352000e+01	1.772828e+07
-2.347000e+01	1.985265e+07
-2.317000e+01	-5.337430e+07
-2.287000e+01	-2.412358e+07
-2.257000e+01	4.502671e+06
-2.227000e+01	-1.515906e+07
-2.222000e+01	1.053474e+07
-2.212000e+01	4.448936e+06
-2.202000e+01	-1.134895e+07
-2.197000e+01	8.529332e+06
-2.194500e+01	-4.921085e+06
-2.192000e+01	-3.021137e+07
-2.189500e+01	3.473315e+07
-2.187000e+01	-4.664693e+06
-2.184500e+01	-4.474528e+06
