# Delay[ns]	Avg Transient	0148 Delay[ns]	0148 Transient	0149 Delay[ns]	0149 Transient	0150 Delay[ns]	0150 Transient	0151 Delay[ns]	0151 Transient	0152 Delay[ns]	0152 Transient
-4.185000e+01	5.142486e-03	-4.185000e+01	2.617412e-02	-4.185000e+01	-2.565616e-02	-4.185000e+01	3.297402e-02	-4.185000e+01	9.034223e-03	-3.985000e+01	-3.618505e-02
-3.785000e+01	-5.732606e-03	-3.785000e+01	-2.103123e-02	-3.785000e+01	-1.857228e-02	-3.785000e+01	3.023589e-02	-3.985000e+01	-5.736995e-04	-3.585000e+01	1.788127e-02
-3.385000e+01	1.553396e-02	-3.385000e+01	3.794987e-02	-3.585000e+01	-2.594249e-02	-3.585000e+01	-1.347995e-02	-3.785000e+01	-9.865213e-03	-3.385000e+01	3.015480e-02
-2.985000e+01	-1.004496e-02	-3.185000e+01	-2.239983e-02	-3.385000e+01	1.467085e-02	-3.385000e+01	1.774332e-02	-3.385000e+01	-2.284907e-02	-3.185000e+01	1.728759e-02
-2.785000e+01	7.575269e-03	-2.985000e+01	-4.094003e-02	-3.185000e+01	4.587000e-03	-3.185000e+01	-2.131713e-02	-3.185000e+01	-1.374882e-02	-2.985000e+01	1.409839e-02
-2.385000e+01	-1.516133e-02	-2.585000e+01	-5.001591e-03	-2.985000e+01	-2.366923e-02	-2.985000e+01	1.920661e-02	-2.985000e+01	-1.892055e-02	-2.785000e+01	-1.330254e-02
-1.985000e+01	1.607230e-02	-2.185000e+01	1.087186e-02	-2.785000e+01	3.060779e-02	-2.785000e+01	1.801965e-02	-2.785000e+01	1.297173e-02	-2.585000e+01	-2.550640e-02
-1.785000e+01	-7.705873e-03	-1.985000e+01	4.355215e-02	-2.585000e+01	-2.462906e-02	-2.585000e+01	2.241308e-02	-2.585000e+01	-2.614496e-02	-2.385000e+01	-5.918681e-02
-1.385000e+01	7.450721e-03	-1.785000e+01	4.005957e-02	-2.385000e+01	-1.892101e-02	-2.385000e+01	-3.996693e-03	-2.385000e+01	2.291915e-02	-1.985000e+01	2.273969e-02
-9.850000e+00	4.409760e-03	-1.385000e+01	-3.449225e-03	-2.185000e+01	-3.831227e-02	-2.185000e+01	-5.918952e-02	-2.185000e+01	2.972549e-02	-1.585000e+01	2.628483e-02
-5.850000e+00	1.033260e-02	-1.185000e+01	1.685109e-02	-1.785000e+01	-3.058601e-02	-1.785000e+01	-9.139855e-03	-1.985000e+01	4.977351e-02	-1.185000e+01	-2.209748e-02
-3.850000e+00	3.118646e-02	-9.850000e+00	-1.367563e-03	-1.385000e+01	7.032186e-03	-1.585000e+01	-2.736768e-02	-1.585000e+01	1.821512e-02	-9.850000e+00	-1.573494e-02
1.500000e-01	3.127027e-02	-7.850000e+00	-2.179434e-02	-1.185000e+01	1.559371e-02	-1.385000e+01	2.397937e-02	-1.385000e+01	1.648032e-03	-5.850000e+00	4.085088e-02
2.150000e+00	1.548612e-02	-5.850000e+00	-1.203133e-02	-9.850000e+00	2.792677e-02	-9.850000e+00	8.500183e-03	-1.185000e+01	1.853381e-02	-3.850000e+00	5.952992e-02
4.150000e+00	-5.715557e-03	-3.850000e+00	9.045173e-03	-7.850000e+00	2.117117e-02	-7.850000e+00	3.197145e-02	-9.850000e+00	2.724350e-03	-1.850000e+00	6.387887e-03
6.150000e+00	3.952366e-02	-1.850000e+00	-2.097603e-02	-5.850000e+00	9.857461e-03	-5.850000e+00	6.956526e-03	-7.850000e+00	7.735685e-03	2.150000e+00	2.992036e-02
8.150000e+00	1.874586e-02	1.500000e-01	6.380501e-02	-3.850000e+00	6.188533e-02	-3.850000e+00	1.622126e-02	-5.850000e+00	6.029472e-03	6.150000e+00	2.438551e-02
1.015000e+01	2.332799e-02	4.150000e+00	2.085425e-02	-1.850000e+00	3.515872e-03	-1.850000e+00	-2.094283e-02	-3.850000e+00	9.250609e-03	8.150000e+00	3.931472e-02
1.215000e+01	1.917370e-02	6.150000e+00	6.344612e-02	1.500000e-01	3.301743e-02	1.500000e-01	-4.961341e-03	-1.850000e+00	1.265574e-02	1.015000e+01	-1.212216e-02
1.615000e+01	7.996116e-03	8.150000e+00	4.690323e-02	4.150000e+00	-3.139406e-02	2.150000e+00	2.973713e-04	1.500000e-01	4.398087e-02	1.415000e+01	1.270679e-02
2.015000e+01	1.457610e-02	1.215000e+01	-2.723507e-03	6.150000e+00	3.509794e-03	4.150000e+00	-8.010937e-03	2.150000e+00	1.467059e-02	1.615000e+01	-2.522508e-02
2.415000e+01	1.080819e-02	1.615000e+01	3.379378e-02	8.150000e+00	-2.268244e-02	6.150000e+00	6.590312e-02	6.150000e+00	4.037376e-02	1.815000e+01	5.252448e-02
2.615000e+01	2.296691e-02	1.815000e+01	1.953333e-02	1.015000e+01	-4.007963e-03	8.150000e+00	4.101400e-02	8.150000e+00	-1.082020e-02	2.015000e+01	5.436438e-02
3.015000e+01	3.582603e-02	2.015000e+01	2.267284e-02	1.215000e+01	1.502433e-02	1.015000e+01	5.973126e-02	1.015000e+01	3.837208e-02	2.415000e+01	9.588412e-04
3.415000e+01	4.803692e-03	2.415000e+01	3.339465e-02	1.415000e+01	1.038880e-02	1.415000e+01	-1.009264e-02	1.415000e+01	-2.254146e-02	2.615000e+01	1.333694e-02
3.615000e+01	1.490858e-02	2.615000e+01	8.079219e-02	1.615000e+01	1.471481e-02	1.615000e+01	4.953382e-02	1.615000e+01	-3.283676e-02	2.815000e+01	2.445025e-02
3.815000e+01	1.773667e-02	2.815000e+01	4.185047e-02	1.815000e+01	4.570464e-03	2.015000e+01	-1.146135e-02	2.015000e+01	1.320801e-02	3.015000e+01	4.523755e-02
4.015000e+01	2.087106e-02	3.015000e+01	3.864482e-02	2.015000e+01	-5.903355e-03	2.215000e+01	-7.393545e-03	2.415000e+01	2.116281e-02	3.415000e+01	2.461183e-02
4.215000e+01	2.447883e-02	3.215000e+01	4.150196e-02	2.215000e+01	8.373795e-04	2.415000e+01	-1.004484e-02	2.615000e+01	1.367167e-02	3.615000e+01	2.491377e-02
4.415000e+01	-3.976123e-03	3.415000e+01	1.259021e-02	2.415000e+01	8.569512e-03	2.815000e+01	1.726039e-03	3.015000e+01	2.609990e-02	4.015000e+01	2.812854e-02
4.615000e+01	1.455661e-02	3.615000e+01	4.777032e-02	2.615000e+01	2.351605e-02	3.015000e+01	3.218106e-02	3.215000e+01	4.074620e-02	4.215000e+01	1.562554e-02
4.815000e+01	1.094939e-02	3.815000e+01	5.061648e-02	2.815000e+01	3.631319e-02	3.215000e+01	2.089447e-02	3.415000e+01	3.955821e-03	4.415000e+01	-8.353188e-03
5.015000e+01	1.189270e-02	4.015000e+01	1.108789e-02	3.015000e+01	3.696682e-02	3.415000e+01	-3.684885e-04	3.615000e+01	-6.590701e-03	4.615000e+01	-6.174621e-03
5.215000e+01	7.110540e-03	4.215000e+01	6.088734e-02	3.215000e+01	2.008277e-02	3.615000e+01	1.200636e-02	3.815000e+01	1.612319e-02	4.815000e+01	1.613989e-02
5.415000e+01	1.755070e-02	4.615000e+01	1.258845e-02	3.415000e+01	-1.677092e-02	3.815000e+01	2.001387e-04	4.015000e+01	4.912073e-02	5.015000e+01	3.974147e-02
5.615000e+01	2.368820e-02	4.815000e+01	1.802263e-02	3.815000e+01	2.254621e-02	4.015000e+01	6.406431e-03	4.215000e+01	2.136413e-02	5.215000e+01	4.114893e-02
6.015000e+01	9.624333e-03	5.015000e+01	2.190683e-02	4.215000e+01	-2.638749e-03	4.215000e+01	2.715590e-02	4.415000e+01	3.402178e-03	5.415000e+01	3.953751e-02
6.215000e+01	1.274468e-02	5.215000e+01	1.526355e-02	4.415000e+01	-4.540733e-03	4.415000e+01	-1.938807e-02	4.815000e+01	-6.662706e-03	5.815000e+01	-1.072674e-02
6.415000e+01	2.871684e-02	5.415000e+01	2.165329e-02	4.615000e+01	4.060981e-02	4.615000e+01	3.550248e-02	5.015000e+01	-6.274176e-03	6.015000e+01	7.857730e-02
6.615000e+01	-6.416827e-03	5.615000e+01	4.580955e-02	4.815000e+01	3.355404e-02	4.815000e+01	-6.306884e-03	5.215000e+01	4.713388e-03	6.215000e+01	3.006638e-02
6.815000e+01	2.896606e-02	5.815000e+01	5.629369e-02	5.015000e+01	-1.316312e-02	5.015000e+01	1.725248e-02	5.415000e+01	2.172847e-04	6.415000e+01	6.898649e-02
7.015000e+01	2.649255e-02	6.015000e+01	-9.540228e-03	5.215000e+01	-2.035215e-02	5.215000e+01	-5.221025e-03	5.815000e+01	4.520076e-02	6.615000e+01	4.300140e-03
7.215000e+01	2.947574e-02	6.415000e+01	5.569148e-02	5.415000e+01	3.918415e-02	5.415000e+01	-1.283875e-02	6.015000e+01	-6.613352e-03	6.815000e+01	4.354488e-02
7.615000e+01	2.649619e-02	6.615000e+01	-8.905383e-03	5.615000e+01	-3.349473e-02	5.615000e+01	5.476242e-02	6.215000e+01	-1.267324e-02	7.015000e+01	9.999118e-03
7.815000e+01	1.393258e-02	6.815000e+01	1.778901e-02	6.015000e+01	-1.272933e-02	5.815000e+01	3.880185e-02	6.415000e+01	2.498000e-03	7.215000e+01	6.132363e-02
8.015000e+01	7.800987e-03	7.015000e+01	1.082574e-02	6.215000e+01	-3.098145e-03	6.015000e+01	-1.572732e-03	6.615000e+01	2.012417e-02	7.415000e+01	-3.158497e-02
8.215000e+01	6.017048e-03	7.215000e+01	3.253534e-02	6.415000e+01	1.002561e-02	6.215000e+01	3.739433e-02	6.815000e+01	4.583127e-02	7.615000e+01	5.053917e-02
8.415000e+01	9.250535e-03	7.415000e+01	1.583221e-02	6.615000e+01	-4.554493e-02	6.415000e+01	6.382608e-03	7.015000e+01	3.865486e-02	7.815000e+01	9.812238e-03
8.615000e+01	3.332595e-02	7.615000e+01	5.729007e-03	7.015000e+01	4.387570e-03	6.615000e+01	-2.058137e-03	7.215000e+01	1.714778e-02	8.015000e+01	7.512000e-02
8.815000e+01	1.862577e-02	7.815000e+01	2.569035e-02	7.415000e+01	-2.847276e-02	7.015000e+01	6.859545e-02	7.415000e+01	-8.318721e-03	8.215000e+01	2.835890e-02
9.015000e+01	1.813057e-02	8.015000e+01	1.661235e-02	7.615000e+01	-3.186601e-03	7.215000e+01	2.784095e-02	7.815000e+01	1.458316e-02	8.415000e+01	-1.104718e-02
9.215000e+01	2.177651e-02	8.215000e+01	1.620227e-02	7.815000e+01	5.803834e-03	7.415000e+01	1.542900e-02	8.015000e+01	-1.476537e-02	8.815000e+01	1.389200e-02
9.415000e+01	1.659630e-02	8.415000e+01	3.875267e-02	8.015000e+01	-4.073548e-02	7.615000e+01	6.610214e-02	8.215000e+01	-2.876386e-02	9.015000e+01	4.428344e-02
9.815000e+01	2.103135e-02	8.615000e+01	4.286268e-02	8.215000e+01	2.091307e-02	7.815000e+01	1.377332e-02	8.415000e+01	6.702835e-03	9.415000e+01	2.824654e-02
1.021500e+02	2.869572e-02	8.815000e+01	4.104980e-02	8.615000e+01	4.822478e-02	8.015000e+01	2.773428e-03	8.615000e+01	2.164508e-02	9.615000e+01	-1.199661e-03
1.061500e+02	2.788825e-02	9.015000e+01	1.858158e-02	8.815000e+01	1.882072e-02	8.215000e+01	-6.625137e-03	9.015000e+01	2.470364e-02	9.815000e+01	3.981096e-02
1.081500e+02	2.297735e-03	9.215000e+01	1.430795e-02	9.015000e+01	-2.294197e-02	8.615000e+01	1.435363e-02	9.415000e+01	3.030658e-03	1.001500e+02	3.086910e-02
1.121500e+02	-1.833102e-03	9.415000e+01	1.859190e-02	9.215000e+01	4.817540e-02	8.815000e+01	-5.537207e-03	9.615000e+01	-9.102850e-03	1.041500e+02	4.399943e-02
1.161500e+02	-1.589858e-03	9.615000e+01	3.693401e-02	9.415000e+01	-4.038685e-03	9.015000e+01	2.602613e-02	9.815000e+01	2.170694e-02	1.081500e+02	-1.233680e-03
1.181500e+02	1.327356e-02	9.815000e+01	-1.571618e-02	9.615000e+01	-7.853230e-03	9.415000e+01	3.715110e-02	1.001500e+02	1.672202e-02	1.101500e+02	2.259777e-02
1.201500e+02	1.725909e-02	1.001500e+02	-1.534627e-02	9.815000e+01	1.001782e-02	9.615000e+01	-1.285813e-02	1.021500e+02	1.532582e-03	1.121500e+02	-8.239664e-03
1.221500e+02	-5.256235e-03	1.021500e+02	8.165836e-02	1.021500e+02	1.313155e-02	9.815000e+01	4.933721e-02	1.041500e+02	5.494665e-03	1.161500e+02	5.639311e-02
1.241500e+02	3.194584e-02	1.041500e+02	4.058830e-02	1.041500e+02	-4.881988e-02	1.001500e+02	5.408968e-02	1.081500e+02	-3.895231e-02	1.181500e+02	2.589607e-02
1.261500e+02	3.461752e-03	1.061500e+02	5.784114e-02	1.061500e+02	4.610453e-02	1.021500e+02	1.582906e-02	1.101500e+02	-1.249758e-02	1.201500e+02	4.144371e-02
1.301500e+02	9.475689e-03	1.081500e+02	5.521788e-02	1.101500e+02	-2.446044e-02	1.041500e+02	4.052832e-02	1.121500e+02	2.265606e-03	1.221500e+02	-2.598833e-02
1.321500e+02	2.436461e-02	1.101500e+02	5.001936e-02	1.121500e+02	1.474705e-02	1.061500e+02	5.978204e-03	1.141500e+02	2.729212e-02	1.241500e+02	4.352111e-02
1.341500e+02	1.538217e-03	1.121500e+02	2.231164e-02	1.141500e+02	3.711466e-02	1.081500e+02	2.306427e-02	1.161500e+02	-3.962299e-02	1.261500e+02	-4.383565e-04
1.361500e+02	1.829995e-02	1.141500e+02	2.578610e-02	1.181500e+02	2.927005e-02	1.101500e+02	8.486836e-03	1.181500e+02	-2.860246e-03	1.281500e+02	3.561404e-02
1.381500e+02	4.571155e-03	1.161500e+02	-1.747673e-02	1.201500e+02	1.547290e-03	1.121500e+02	-4.025014e-02	1.201500e+02	-1.160559e-02	1.301500e+02	1.248675e-02
1.401500e+02	2.550083e-02	1.181500e+02	5.470446e-02	1.221500e+02	-3.742046e-04	1.141500e+02	3.670576e-02	1.221500e+02	-1.488392e-02	1.321500e+02	3.838545e-02
