# Delay[ns]	Avg Transient	0190 Delay[ns]	0190 Transient	0191 Delay[ns]	0191 Transient	0192 Delay[ns]	0192 Transient	0193 Delay[ns]	0193 Transient	0214 Delay[ns]	0214 Transient	0215 Delay[ns]	0215 Transient	0262 Delay[ns]	0262 Transient	0263 Delay[ns]	0263 Transient	0264 Delay[ns]	0264 Transient
-1.985000e+01	3.548037e-04	-1.385000e+01	1.817573e-03	-1.585000e+01	-1.951019e-03	-1.385000e+01	4.818207e-03	-1.785000e+01	-8.405681e-04	-7.850000e+00	4.551675e-03	1.500000e-01	1.638401e-02	-1.785000e+01	3.458722e-03	-1.785000e+01	9.762693e-04	-2.385000e+01	1.177010e-02
-1.785000e+01	3.571849e-03	-1.185000e+01	-1.285511e-02	-1.385000e+01	-4.953906e-03	-1.185000e+01	9.443080e-03	-1.585000e+01	-3.056957e-04	-5.850000e+00	-2.817165e-03	2.150000e+00	2.251405e-02	-1.385000e+01	1.572365e-03	-1.585000e+01	2.495716e-03	-2.185000e+01	-1.891658e-02
-1.385000e+01	1.170664e-03	-9.850000e+00	5.450122e-03	-1.185000e+01	5.021831e-04	-9.850000e+00	3.149089e-03	-1.385000e+01	1.483756e-03	-3.850000e+00	-1.642826e-03	4.150000e+00	1.315419e-02	-1.185000e+01	3.114539e-03	-1.385000e+01	-3.448622e-03	-1.785000e+01	1.008744e-02
-1.185000e+01	-2.140662e-03	-7.850000e+00	8.481596e-03	-9.850000e+00	-3.646601e-03	-7.850000e+00	-8.362112e-03	-1.185000e+01	7.259400e-03	-1.850000e+00	4.832388e-03	6.150000e+00	1.554341e-03	-9.850000e+00	2.470903e-03	-1.185000e+01	5.422064e-03	-1.385000e+01	1.522726e-02
-9.850000e+00	6.792969e-04	-5.850000e+00	6.276940e-03	-7.850000e+00	1.123444e-02	-5.850000e+00	-8.796259e-03	-9.850000e+00	-1.495028e-02	1.500000e-01	1.267417e-02	8.150000e+00	2.094370e-02	-7.850000e+00	1.086510e-04	-9.850000e+00	2.875944e-03	-1.185000e+01	-1.431993e-02
-5.850000e+00	6.125020e-04	-1.850000e+00	4.267798e-03	-5.850000e+00	-1.106337e-02	-3.850000e+00	5.353853e-03	-7.850000e+00	-5.653136e-03	2.150000e+00	4.823321e-03	1.015000e+01	1.171470e-02	-3.850000e+00	3.211126e-03	-7.850000e+00	8.369411e-04	-9.850000e+00	1.223613e-02
-3.850000e+00	1.563216e-03	1.500000e-01	2.594862e-02	-3.850000e+00	7.376492e-04	-1.850000e+00	-7.339426e-03	-3.850000e+00	8.904111e-03	4.150000e+00	8.686506e-03	1.415000e+01	1.683959e-02	-1.850000e+00	-1.188554e-03	-5.850000e+00	-8.348037e-04	-7.850000e+00	-7.363403e-03
-1.850000e+00	3.094099e-04	2.150000e+00	1.785688e-02	-1.850000e+00	-5.913965e-03	2.150000e+00	1.928034e-02	1.500000e-01	1.060466e-02	6.150000e+00	2.441795e-02	1.615000e+01	1.936996e-02	1.500000e-01	2.515041e-02	-3.850000e+00	1.393743e-03	-3.850000e+00	5.355623e-03
1.500000e-01	2.148171e-02	4.150000e+00	1.752013e-02	2.150000e+00	1.822386e-02	6.150000e+00	1.748096e-02	2.150000e+00	1.498088e-02	1.015000e+01	4.965586e-03	1.815000e+01	1.381688e-02	2.150000e+00	2.651341e-02	-1.850000e+00	4.848367e-03	-1.850000e+00	1.739874e-03
2.150000e+00	1.880670e-02	8.150000e+00	1.862393e-02	4.150000e+00	1.931280e-02	8.150000e+00	1.130921e-02	4.150000e+00	2.237101e-02	1.215000e+01	1.512837e-02	2.215000e+01	6.312506e-03	4.150000e+00	3.855523e-02	1.500000e-01	2.398726e-02	1.500000e-01	4.053302e-02
4.150000e+00	2.007701e-02	1.015000e+01	8.642531e-03	6.150000e+00	1.533750e-02	1.215000e+01	1.179474e-02	6.150000e+00	1.811843e-02	1.415000e+01	1.402727e-02	2.415000e+01	8.857500e-03	6.150000e+00	2.583654e-02	2.150000e+00	1.707793e-02	2.150000e+00	2.798963e-02
6.150000e+00	1.624363e-02	1.415000e+01	3.326449e-03	1.015000e+01	1.446674e-02	1.615000e+01	3.004244e-02	8.150000e+00	1.853180e-02	1.815000e+01	1.233032e-02	2.615000e+01	2.284965e-02	8.150000e+00	2.026809e-02	4.150000e+00	2.180032e-02	4.150000e+00	2.717301e-02
8.150000e+00	1.779400e-02	1.815000e+01	9.316788e-03	1.415000e+01	-1.925971e-04	2.015000e+01	2.078886e-02	1.015000e+01	2.782092e-02	2.015000e+01	1.012456e-02	2.815000e+01	2.185756e-02	1.015000e+01	1.231806e-02	6.150000e+00	2.201606e-02	6.150000e+00	7.784482e-03
1.215000e+01	1.804815e-02	2.015000e+01	1.171025e-02	1.815000e+01	9.560054e-03	2.215000e+01	2.293057e-02	1.415000e+01	1.472357e-02	2.415000e+01	1.221900e-02	3.215000e+01	1.861347e-02	1.415000e+01	2.578373e-02	1.015000e+01	1.699978e-03	1.015000e+01	1.101290e-02
1.615000e+01	1.657583e-02	2.215000e+01	1.173644e-02	2.015000e+01	2.176583e-02	2.615000e+01	7.872077e-03	1.615000e+01	1.318523e-02	2.615000e+01	1.018261e-02	3.415000e+01	1.166739e-02	1.815000e+01	2.487476e-02	1.415000e+01	1.301397e-02	1.415000e+01	3.270438e-02
2.015000e+01	8.621970e-03	2.615000e+01	2.358693e-02	2.415000e+01	2.137094e-02	2.815000e+01	1.205640e-02	2.015000e+01	-2.992886e-04	2.815000e+01	1.727186e-02	3.615000e+01	4.546774e-03	2.215000e+01	3.379584e-02	1.815000e+01	1.712409e-02	1.815000e+01	1.576967e-02
2.415000e+01	1.940685e-02	2.815000e+01	1.168070e-02	2.615000e+01	2.520512e-02	3.215000e+01	1.500150e-02	2.415000e+01	1.083383e-02	3.015000e+01	1.288388e-02	3.815000e+01	2.064413e-03	2.615000e+01	3.081559e-02	2.215000e+01	5.742776e-03	2.015000e+01	-1.437490e-03
2.815000e+01	1.737130e-02	3.015000e+01	1.817124e-02	3.015000e+01	1.845319e-02	3.415000e+01	-4.721246e-03	2.615000e+01	1.652774e-02	3.215000e+01	5.931559e-03	4.015000e+01	9.738822e-03	2.815000e+01	2.149825e-02	2.415000e+01	2.073424e-02	2.415000e+01	3.118753e-02
3.015000e+01	1.564905e-02	3.215000e+01	1.161112e-02	3.215000e+01	1.424756e-02	3.615000e+01	1.267437e-02	2.815000e+01	1.064029e-02	3.415000e+01	5.544280e-03	4.415000e+01	1.372272e-02	3.015000e+01	1.351589e-02	2.615000e+01	9.771061e-03	2.615000e+01	2.834796e-02
3.415000e+01	1.246509e-02	3.415000e+01	2.393154e-03	3.415000e+01	2.335056e-02	4.015000e+01	1.069637e-02	3.015000e+01	1.019105e-03	3.815000e+01	2.954458e-02	4.815000e+01	4.580900e-03	3.415000e+01	1.785903e-02	3.015000e+01	1.055319e-02	2.815000e+01	2.198272e-02
