Photon Energy (eV)	SE Photon Energy (eV)	X ref norm	SE X ref norm	X ref	SE X ref	X pump norm	SE X pump norm	X pump	SE X pump	Y ref norm	SE Y ref norm	Y ref	SE Y ref	Y pump norm	SE Y pump norm	Y pump	SE Y pump	X all norm	SE X all norm	X all	SE X all	Y all norm	SE Y all norm	Y all	SE Y all	X all Y ref norm	SE X all Y ref norm	X all Y ref	SE X all Y ref	Y all X ref norm	SE Y all X ref norm	Y all X ref	SE Y all X ref	BC(X hist) norm	SE BC(X hist) norm	BC(Y hist) norm	SE BC(Y hist) norm	StS norm	SE StS norm	BCSC norm	SE BCSC norm	BCLR norm	SE BCLR norm	BC(X hist)	SE BC(X hist)	BC(Y hist)	SE BC(Y hist)	StS	SE StS	BCSC	SE BCSC	BCLR	SE BCLR		SE 	
5.336094E+2	1.428571E-3	3.905522E-2	4.152267E-3	1.979108E+9	1.933863E+8	4.796766E-2	5.807130E-3	1.168134E+8	5.808824E+6	4.047932E-2	4.123668E-3	2.010791E+9	1.982560E+8	3.946188E-2	4.366006E-3	1.074879E+8	4.273541E+6	4.192324E-2	4.203006E-3	1.790209E+10	7.870455E+8	4.083253E-2	4.000039E-3	1.779985E+10	7.707586E+8	4.177332E-2	4.183716E-3	1.991288E+10	9.744744E+8	4.065785E-2	4.008430E-3	1.977896E+10	9.501861E+8	8.912441E-3	2.698413E-3	-1.017437E-3	2.051536E-3	8.505779E-3	4.562072E-3	9.929879E-3	4.333509E-3	7.309813E-3	2.878414E-3	-1.862294E+9	1.877252E+8	-1.903303E+9	1.954692E+8	9.325508E+6	4.899108E+6	4.100875E+7	1.662499E+7	-1.966214E+10	9.448999E+8	0.000000E+0	0.000000E+0
5.337684E+2	3.456238E-3	5.395814E-2	6.324414E-3	2.326140E+9	2.644545E+8	7.575294E-2	1.082821E-2	1.502042E+8	1.234915E+7	5.476048E-2	6.016723E-3	2.341891E+9	2.618193E+8	6.051958E-2	5.520696E-3	1.328780E+8	5.862885E+6	5.618406E-2	6.513546E-3	2.067974E+10	1.230497E+9	5.447683E-2	6.061499E-3	2.047418E+10	1.159329E+9	5.602280E-2	6.451352E-3	2.302163E+10	1.485842E+9	5.442959E-2	6.082308E-3	2.280032E+10	1.416164E+9	2.179480E-2	5.197477E-3	5.759095E-3	1.651467E-3	1.523337E-2	6.343055E-3	1.603570E-2	6.372827E-3	2.132335E-2	5.178419E-3	-2.175935E+9	2.529412E+8	-2.209012E+9	2.568370E+8	1.732615E+7	7.648642E+6	3.307725E+7	2.305992E+7	-2.265011E+10	1.404158E+9	0.000000E+0	0.000000E+0
5.339104E+2	9.221389E-4	7.346057E-2	9.713764E-3	2.782381E+9	3.639357E+8	1.108034E-1	1.633711E-2	1.920220E+8	1.850777E+7	7.264431E-2	9.537834E-3	2.765912E+9	3.672727E+8	6.955099E-2	9.177559E-3	1.436926E+8	9.864734E+6	7.784649E-2	1.036116E-2	2.489828E+10	1.987360E+9	7.439646E-2	9.727639E-3	2.437974E+10	1.885840E+9	7.730055E-2	1.024891E-2	2.766419E+10	2.344283E+9	7.429926E-2	9.711514E-3	2.716212E+10	2.241316E+9	3.734285E-2	7.346654E-3	-3.093326E-3	3.184434E-3	4.125244E-2	8.675423E-3	4.043618E-2	9.063291E-3	3.650416E-2	7.020081E-3	-2.590359E+9	3.462548E+8	-2.622220E+9	3.581103E+8	4.832934E+7	1.050258E+7	3.186098E+7	3.696922E+7	-2.697010E+10	2.223119E+9	0.000000E+0	0.000000E+0
5.340626E+2	9.221389E-4	1.092276E-1	1.510777E-2	3.613414E+9	5.341184E+8	1.601409E-1	2.565868E-2	2.509413E+8	2.963086E+7	1.122692E-1	1.572518E-2	3.685563E+9	5.572736E+8	1.106377E-1	1.351241E-2	1.931395E+8	1.481876E+7	1.179834E-1	1.698074E-2	3.270548E+10	3.281120E+9	1.130239E-1	1.602297E-2	3.194149E+10	3.121143E+9	1.173691E-1	1.681946E-2	3.639104E+10	3.829237E+9	1.126168E-1	1.589779E-2	3.555490E+10	3.645451E+9	5.091325E-2	1.097991E-2	-1.631496E-3	5.286363E-3	4.950324E-2	1.280973E-2	5.254475E-2	1.362330E-2	4.752409E-2	1.002564E-2	-3.362473E+9	5.057600E+8	-3.492424E+9	5.439266E+8	5.780173E+7	1.534439E+7	1.299506E+8	4.785152E+7	-3.530396E+10	3.616086E+9	0.000000E+0	0.000000E+0
5.342076E+2	9.221389E-4	1.735543E-1	2.937554E-2	5.138986E+9	9.455188E+8	2.585820E-1	4.305161E-2	3.692911E+8	5.035014E+7	1.741587E-1	3.014240E-2	5.162055E+9	9.702230E+8	1.704274E-1	2.872992E-2	2.652205E+8	3.343693E+7	1.862722E-1	3.203280E-2	4.601600E+10	6.241550E+9	1.760398E-1	3.008631E-2	4.430594E+10	5.906322E+9	1.849832E-1	3.177491E-2	5.117806E+10	7.203607E+9	1.757617E-1	2.999615E-2	4.944493E+10	6.844624E+9	8.502767E-2	1.456415E-2	-3.731278E-3	3.052115E-3	8.815461E-2	1.617426E-2	8.875896E-2	1.694738E-2	8.282027E-2	1.399626E-2	-4.769695E+9	8.963015E+8	-4.896835E+9	9.370581E+8	1.040706E+8	1.900657E+7	1.271397E+8	4.557265E+7	-4.907564E+10	6.794780E+9	0.000000E+0	0.000000E+0
5.343586E+2	9.221389E-4	3.001370E-1	5.761995E-2	8.146678E+9	1.757967E+9	4.184850E-1	6.679197E-2	5.607533E+8	7.846868E+7	3.000798E-1	5.769184E-2	8.152843E+9	1.766240E+9	2.904801E-1	5.576373E-2	4.097126E+8	6.587271E+7	3.195851E-1	5.994387E-2	7.197016E+10	1.170988E+10	3.024826E-1	5.680302E-2	6.908368E+10	1.117158E+10	3.175426E-1	5.961446E-2	8.012301E+10	1.346270E+10	3.022635E-1	5.687760E-2	7.723035E+10	1.291880E+10	1.183480E-1	9.857738E-3	-9.599639E-3	4.703281E-3	1.280049E-1	1.137381E-2	1.279476E-1	1.129908E-2	1.162215E-1	1.055647E-2	-7.585924E+9	1.680823E+9	-7.743131E+9	1.701449E+9	1.510407E+8	1.307467E+7	1.572055E+8	3.628229E+7	-7.666961E+10	1.284068E+10	0.000000E+0	0.000000E+0
5.345107E+2	1.700340E-3	5.114301E-1	9.581647E-2	1.309939E+10	2.896539E+9	6.666684E-1	1.041460E-1	8.580010E+8	1.226077E+8	5.113458E-1	9.688019E-2	1.311393E+10	2.927355E+9	5.268938E-1	1.006685E-1	6.942130E+8	1.196533E+8	5.376355E-1	9.759922E-2	1.144240E+11	1.910883E+10	5.161039E-1	9.600321E-2	1.109519E+11	1.891819E+10	5.349464E-1	9.740801E-2	1.275379E+11	2.201173E+10	5.156186E-1	9.596305E-2	1.240513E+11	2.179519E+10	1.552385E-1	1.555133E-2	1.554794E-2	7.937383E-3	1.397747E-1	1.799343E-2	1.396905E-1	1.738172E-2	1.510499E-1	1.541873E-2	-1.224139E+10	2.778221E+9	-1.241972E+10	2.809179E+9	1.637879E+8	2.183647E+7	1.783279E+8	3.962686E+7	-1.231933E+11	2.167413E+10	0.000000E+0	0.000000E+0
5.346646E+2	4.011039E-3	7.954040E-1	1.293382E-1	1.959805E+10	3.970992E+9	9.569114E-1	1.238339E-1	1.206392E+9	1.452610E+8	7.966489E-1	1.300148E-1	1.964986E+10	3.999031E+9	7.982284E-1	1.305851E-1	1.021263E+9	1.554060E+8	8.198780E-1	1.289504E-1	1.693296E+11	2.528353E+10	7.932346E-1	1.287422E-1	1.652248E+11	2.540306E+10	8.175720E-1	1.289614E-1	1.889794E+11	2.922686E+10	7.934598E-1	1.288093E-1	1.848229E+11	2.932796E+10	1.615074E-1	1.208267E-2	1.579432E-3	8.269024E-3	1.586830E-1	1.567123E-2	1.599280E-1	1.698770E-2	1.634516E-1	1.202658E-2	-1.839166E+10	3.830390E+9	-1.862859E+10	3.846942E+9	1.851297E+8	2.052699E+7	2.369386E+8	1.098141E+8	-1.836165E+11	2.918376E+10	0.000000E+0	0.000000E+0
5.348086E+2	1.913077E-3	1.113588E+0	1.502486E-1	2.674710E+10	4.776177E+9	1.237180E+0	1.365401E-1	1.542436E+9	1.594617E+8	1.110915E+0	1.510792E-1	2.671426E+10	4.801058E+9	1.107598E+0	1.471113E-1	1.394115E+9	1.750118E+8	1.129475E+0	1.452167E-1	2.295172E+11	2.851141E+10	1.106898E+0	1.472265E-1	2.266162E+11	2.909086E+10	1.127804E+0	1.457539E-1	2.562315E+11	3.320150E+10	1.107669E+0	1.475663E-1	2.533633E+11	3.376811E+10	1.235918E-1	2.549211E-2	-3.316735E-3	5.881576E-3	1.295811E-1	2.165178E-2	1.269086E-1	2.031468E-2	1.295106E-1	2.398018E-2	-2.520467E+10	4.628004E+9	-2.532014E+10	4.631170E+9	1.483210E+8	2.858844E+7	1.154765E+8	4.856697E+7	-2.518209E+11	3.361172E+10	0.000000E+0	0.000000E+0
5.349601E+2	1.010153E-3	1.472467E+0	1.494890E-1	3.459333E+10	5.061006E+9	1.569188E+0	1.222013E-1	1.942219E+9	1.416105E+8	1.477902E+0	1.479752E-1	3.472358E+10	5.032864E+9	1.467396E+0	1.430263E-1	1.827932E+9	1.697323E+8	1.474265E+0	1.400201E-1	2.965322E+11	2.758313E+10	1.458622E+0	1.440448E-1	2.954389E+11	2.855262E+10	1.474905E+0	1.408501E-1	3.312558E+11	3.238494E+10	1.460187E+0	1.446496E-1	3.300322E+11	3.340058E+10	9.672087E-2	3.526178E-2	-1.050612E-2	1.228581E-2	1.017924E-1	2.566759E-2	1.072270E-1	2.806432E-2	1.090012E-1	3.048726E-2	-3.265112E+10	4.935514E+9	-3.289565E+10	4.875086E+9	1.142867E+8	3.448388E+7	2.445355E+8	1.064628E+8	-3.280900E+11	3.326233E+10	0.000000E+0	0.000000E+0
