# Delay[ns]	Avg Transient	0148 Delay[ns]	0148 Transient	0149 Delay[ns]	0149 Transient	0150 Delay[ns]	0150 Transient	0151 Delay[ns]	0151 Transient	0152 Delay[ns]	0152 Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
2.801500e+02	1.357702e-02	2.821500e+02	2.758511e-02	2.741500e+02	-6.593711e-03	2.741500e+02	1.196180e-02	2.601500e+02	-3.386136e-02	2.661500e+02	3.945930e-02	   nan	   nan	2.841500e+02	3.640670e-02	2.761500e+02	-1.505261e-02
2.821500e+02	-8.851392e-03	2.841500e+02	1.090295e-01	2.781500e+02	-8.339704e-04	2.761500e+02	-7.563372e-03	2.621500e+02	6.961993e-02	2.681500e+02	-3.650973e-02	   nan	   nan	2.861500e+02	3.220661e-02	2.801500e+02	1.409049e-02
2.841500e+02	3.108914e-02	2.861500e+02	9.517341e-03	2.801500e+02	2.251357e-02	2.781500e+02	-2.151357e-02	2.641500e+02	-3.959211e-03	2.701500e+02	6.843265e-02	   nan	   nan	   nan	   nan	2.821500e+02	-7.696670e-03
2.861500e+02	1.716288e-02	   nan	   nan	2.821500e+02	-6.955163e-03	2.801500e+02	6.400023e-03	2.661500e+02	-2.674379e-03	2.721500e+02	3.246815e-02	   nan	   nan	   nan	   nan	2.841500e+02	3.195728e-02
   nan	   nan	   nan	   nan	2.861500e+02	-4.281991e-03	2.821500e+02	-1.143923e-02	2.681500e+02	2.211439e-02	2.761500e+02	6.908613e-02	   nan	   nan	   nan	   nan	2.861500e+02	1.816845e-02
   nan	   nan	   nan	   nan	   nan	   nan	2.841500e+02	3.538453e-02	2.701500e+02	-7.983571e-03	2.781500e+02	-9.138458e-03	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	2.861500e+02	-9.254366e-03	2.721500e+02	-6.914763e-02	2.801500e+02	6.712221e-02	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	2.741500e+02	-1.492372e-02	2.821500e+02	4.848430e-02	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	2.761500e+02	-2.417857e-02	2.861500e+02	5.916767e-02	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	2.781500e+02	1.234739e-03	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	2.801500e+02	-4.684877e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	2.821500e+02	-1.724741e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	2.861500e+02	1.630953e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
