# Delay[ns]	Avg Transient	019 Delay[ns]	019 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	019 Delay[ns]	019 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
2.150000e+00	1.253622e-01	2.150000e+00	1.183129e-01	2.150000e+00	1.076156e-01	2.150000e+00	1.166472e-01	1.415000e+01	3.897640e-02	1.415000e+01	5.470531e-02	1.415000e+01	4.452493e-02	1.415000e+01	4.430942e-02
4.150000e+00	8.193741e-02	4.150000e+00	8.298398e-02	4.150000e+00	6.874967e-02	4.150000e+00	9.200855e-02	1.615000e+01	5.194777e-02	1.615000e+01	3.958714e-02	1.615000e+01	3.806469e-03	1.615000e+01	1.769226e-02
6.150000e+00	5.608195e-02	6.150000e+00	6.286076e-02	6.150000e+00	5.944212e-02	6.150000e+00	4.617347e-02	1.815000e+01	4.444435e-02	1.815000e+01	3.641460e-02	1.815000e+01	2.633834e-02	1.815000e+01	3.509652e-02
8.150000e+00	7.027485e-02	8.150000e+00	6.782961e-02	8.150000e+00	6.405364e-02	8.150000e+00	9.974887e-02	2.015000e+01	1.183346e-02	2.015000e+01	2.309330e-02	2.015000e+01	2.628779e-02	2.015000e+01	4.814744e-02
1.015000e+01	5.679594e-02	1.015000e+01	6.307506e-02	1.015000e+01	4.884498e-02	1.015000e+01	6.810739e-02	2.215000e+01	3.595353e-02	2.215000e+01	4.434782e-02	2.215000e+01	1.660570e-02	2.215000e+01	2.384127e-02
1.215000e+01	4.654135e-02	1.215000e+01	3.270355e-02	1.215000e+01	6.035501e-02	1.215000e+01	6.049453e-02	2.415000e+01	3.573357e-02	2.415000e+01	4.848192e-02	2.415000e+01	3.314780e-02	2.415000e+01	5.259315e-02
1.415000e+01	4.032292e-02	1.415000e+01	2.748718e-02	1.415000e+01	3.539716e-02	1.415000e+01	3.686007e-02	2.615000e+01	5.377249e-02	2.615000e+01	3.653767e-03	2.615000e+01	4.186159e-02	2.615000e+01	2.584432e-02
1.615000e+01	3.465504e-02	1.615000e+01	4.198905e-02	1.615000e+01	4.376529e-02	1.615000e+01	4.379728e-02	2.815000e+01	3.548791e-02	2.815000e+01	4.384986e-02	2.815000e+01	2.194075e-02	2.815000e+01	2.969722e-02
1.815000e+01	3.192104e-02	1.815000e+01	3.312533e-02	1.815000e+01	2.964834e-02	1.815000e+01	1.837980e-02	3.015000e+01	3.416262e-02	3.015000e+01	2.919478e-02	3.015000e+01	3.079741e-02	3.015000e+01	2.599669e-02
2.015000e+01	3.378762e-02	2.015000e+01	3.982009e-02	2.015000e+01	3.299946e-02	2.015000e+01	5.433182e-02	3.215000e+01	5.132044e-02	3.215000e+01	6.049249e-02	3.215000e+01	1.535658e-02	3.215000e+01	7.108020e-03
