# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
1.221500e+02	1.001507e-02	9.015000e+01	2.339876e-03	1.021500e+02	-8.443273e-03	9.415000e+01	-1.025091e-03	7.615000e+01	3.321957e-02	9.215000e+01	1.331571e-02	9.415000e+01	5.899923e-03	7.615000e+01	2.533981e-02	8.015000e+01	1.155931e-02
1.241500e+02	-1.160669e-03	9.215000e+01	5.870216e-03	1.041500e+02	3.021808e-03	9.615000e+01	1.360777e-02	7.815000e+01	2.195981e-02	9.415000e+01	7.187663e-03	9.615000e+01	1.573376e-02	7.815000e+01	9.863711e-03	8.415000e+01	6.940135e-03
1.281500e+02	1.104451e-02	9.415000e+01	1.762231e-02	1.061500e+02	2.522911e-02	9.815000e+01	4.334697e-02	8.215000e+01	-5.534144e-03	9.615000e+01	-5.589106e-03	9.815000e+01	-6.881333e-03	8.015000e+01	1.595941e-02	8.815000e+01	2.112877e-02
1.301500e+02	4.457155e-03	9.615000e+01	1.310223e-05	1.081500e+02	3.498514e-03	1.001500e+02	1.559313e-02	8.615000e+01	-1.122344e-02	1.001500e+02	1.611721e-02	1.001500e+02	1.988390e-02	8.215000e+01	1.032378e-02	9.015000e+01	1.305226e-02
1.321500e+02	9.929845e-03	9.815000e+01	1.211207e-02	1.101500e+02	7.742444e-03	1.021500e+02	7.568740e-03	8.815000e+01	1.165230e-02	1.021500e+02	1.567738e-02	1.041500e+02	1.820666e-03	8.415000e+01	1.379799e-02	9.215000e+01	2.027365e-02
1.361500e+02	1.367601e-02	1.021500e+02	1.375002e-02	1.121500e+02	1.460390e-02	1.041500e+02	2.740844e-02	9.015000e+01	2.182900e-02	1.061500e+02	6.093518e-04	1.081500e+02	1.589676e-02	8.615000e+01	-3.113157e-03	9.415000e+01	7.477178e-03
1.381500e+02	1.350040e-02	1.041500e+02	-8.535862e-03	1.141500e+02	1.178381e-02	1.061500e+02	3.113324e-03	9.215000e+01	5.630093e-03	1.081500e+02	6.415721e-03	1.101500e+02	2.600595e-02	8.815000e+01	1.739887e-02	9.615000e+01	4.127997e-03
1.401500e+02	5.841611e-03	1.061500e+02	-3.391584e-03	1.161500e+02	9.445288e-03	1.081500e+02	-1.006544e-02	9.615000e+01	-6.589091e-03	1.121500e+02	6.197334e-03	1.141500e+02	1.935636e-02	9.015000e+01	5.332403e-03	9.815000e+01	-5.872145e-03
1.421500e+02	8.507353e-03	1.081500e+02	2.294414e-02	1.181500e+02	1.561801e-02	1.101500e+02	-1.192913e-02	1.001500e+02	8.712967e-03	1.141500e+02	2.249994e-02	1.161500e+02	-1.126020e-02	9.415000e+01	-1.497766e-03	1.001500e+02	6.055770e-03
1.441500e+02	1.052926e-02	1.121500e+02	4.017217e-03	1.221500e+02	8.439223e-03	1.121500e+02	3.857975e-03	1.021500e+02	2.728361e-02	1.161500e+02	4.757486e-05	1.181500e+02	-1.204661e-03	9.615000e+01	2.122556e-02	1.021500e+02	-5.664467e-03
