# Delay[ns]	Avg Transient	0195 Delay[ns]	0195 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	0198 Delay[ns]	0198 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
-4.385000e+01	2.586018e-05	-4.385000e+01	3.813784e-05	-4.385000e+01	9.491220e-06	-4.385000e+01	2.995148e-05	-3.185000e+01	2.176417e-05	-3.185000e+01	-1.401590e-05	-3.185000e+01	-1.794883e-05	-3.185000e+01	-6.446044e-05
-4.185000e+01	-1.706399e-06	-4.185000e+01	7.252393e-05	-4.185000e+01	-7.077543e-06	-4.185000e+01	-7.056559e-05	-2.985000e+01	-8.845751e-06	-2.985000e+01	4.236621e-05	-2.985000e+01	-3.774627e-06	-2.985000e+01	-2.556670e-05
-3.985000e+01	3.080448e-07	-3.985000e+01	-5.501223e-06	-3.985000e+01	4.501619e-05	-3.985000e+01	-3.859083e-05	-2.785000e+01	-2.552818e-05	-2.785000e+01	-4.285566e-05	-2.785000e+01	-7.615907e-05	-2.785000e+01	5.578258e-05
-3.785000e+01	-1.267220e-05	-3.785000e+01	-5.336101e-05	-3.785000e+01	-2.219947e-05	-3.785000e+01	3.754388e-05	-2.585000e+01	-1.987474e-05	-2.585000e+01	2.577025e-05	-2.585000e+01	1.039888e-05	-2.585000e+01	1.974352e-05
-3.585000e+01	-1.925187e-05	-3.585000e+01	2.830211e-05	-3.585000e+01	9.537511e-07	-3.585000e+01	-8.701146e-05	-2.385000e+01	-2.938883e-05	-2.385000e+01	-1.737630e-05	-2.385000e+01	-2.715386e-05	-2.385000e+01	-1.694187e-05
-3.385000e+01	2.475058e-05	-3.385000e+01	5.879312e-05	-3.385000e+01	1.068474e-05	-3.385000e+01	4.773869e-06	-2.185000e+01	6.686935e-06	-2.185000e+01	-7.406838e-05	-2.185000e+01	-2.355494e-06	-2.185000e+01	3.664086e-06
-3.185000e+01	3.962237e-06	-3.185000e+01	4.576044e-05	-3.185000e+01	6.340549e-05	-3.185000e+01	-6.769274e-06	-1.985000e+01	7.253418e-06	-1.985000e+01	6.758443e-05	-1.985000e+01	2.765969e-05	-1.985000e+01	-5.484671e-05
-2.985000e+01	-8.089879e-06	-2.985000e+01	-2.442739e-05	-2.985000e+01	-3.673282e-05	-2.985000e+01	3.519171e-07	-1.785000e+01	6.700578e-05	-1.785000e+01	5.821762e-05	-1.785000e+01	-5.582865e-05	-1.785000e+01	2.757665e-05
-2.785000e+01	-1.055088e-05	-2.785000e+01	3.223168e-05	-2.785000e+01	-3.340086e-05	-2.785000e+01	1.607336e-05	-1.585000e+01	9.703824e-05	-1.585000e+01	8.468571e-06	-1.585000e+01	1.903164e-05	-1.585000e+01	-5.197092e-07
-2.585000e+01	-6.348036e-06	-2.585000e+01	-1.691604e-05	-2.585000e+01	-7.716676e-05	-2.585000e+01	1.360864e-05	-1.385000e+01	-3.498598e-05	-1.385000e+01	-1.570884e-05	-1.385000e+01	-4.156117e-06	-1.385000e+01	5.174025e-05
-2.385000e+01	-1.730432e-05	-2.385000e+01	1.266119e-06	-2.385000e+01	-1.264077e-06	-2.385000e+01	-3.027140e-05	-1.185000e+01	-5.974875e-05	-1.185000e+01	-9.219405e-06	-1.185000e+01	6.743231e-05	-1.185000e+01	-5.559131e-06
