# Delay[ns]	Avg Transient	0195 Delay[ns]	0195 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	0198 Delay[ns]	0198 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
-4.385000e+01	1.470890e-02	-4.385000e+01	3.346188e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-4.185000e+01	1.343715e-02	-4.185000e+01	3.519703e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-3.985000e+01	1.578727e-02	-3.785000e+01	2.634835e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-3.585000e+01	1.327447e-02	-3.585000e+01	-3.817052e-03	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-3.385000e+01	6.788954e-06	-3.185000e+01	2.440699e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-2.985000e+01	1.817162e-02	-2.985000e+01	1.403005e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-2.785000e+01	1.095003e-02	-2.785000e+01	-1.071031e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-2.585000e+01	6.247801e-03	-2.585000e+01	3.181483e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-2.185000e+01	3.130497e-02	-2.185000e+01	1.516274e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-1.785000e+01	7.225806e-03	-1.985000e+01	3.875684e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-1.585000e+01	1.898958e-02	-1.785000e+01	4.999638e-03	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-1.385000e+01	2.179854e-02	-1.585000e+01	3.020880e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-1.185000e+01	1.902153e-02	-1.385000e+01	2.261550e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-7.850000e+00	1.575702e-02	-1.185000e+01	4.324936e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-5.850000e+00	2.087531e-02	-9.850000e+00	8.864605e-03	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-3.850000e+00	1.511727e-02	-7.850000e+00	2.458900e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
-1.850000e+00	8.176079e-03	-5.850000e+00	4.117823e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
1.500000e-01	3.903375e-02	-3.850000e+00	3.632067e-03	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
2.150000e+00	2.700278e-02	-1.850000e+00	1.557914e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
4.150000e+00	5.133494e-02	1.500000e-01	1.412525e-02	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
6.150000e+00	2.515149e-02	2.150000e+00	-5.428739e-03	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan	   nan
