# Delay[ns]	Avg Transient	0195 Delay[ns]	0195 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	0198 Delay[ns]	0198 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
-4.385000e+01	-7.789127e-03	-4.385000e+01	-1.388513e-02	-4.385000e+01	1.208117e-02	-4.385000e+01	-2.156342e-02	-3.185000e+01	-2.412367e-02	-3.185000e+01	-1.076929e-02	-3.185000e+01	-1.133324e-02	-3.185000e+01	1.483811e-02
-4.185000e+01	-1.696527e-02	-4.185000e+01	-3.131380e-02	-4.185000e+01	-2.939815e-02	-4.185000e+01	9.816153e-03	-2.985000e+01	-3.631276e-03	-2.985000e+01	5.416297e-02	-2.985000e+01	2.605792e-02	-2.985000e+01	-3.500964e-02
-3.985000e+01	1.908026e-02	-3.985000e+01	3.746419e-02	-3.985000e+01	3.924082e-02	-3.985000e+01	-1.946423e-02	-2.785000e+01	2.041586e-02	-2.785000e+01	-2.073905e-02	-2.785000e+01	1.317492e-02	-2.785000e+01	-3.142590e-03
-3.785000e+01	-1.791222e-02	-3.785000e+01	-2.676025e-02	-3.785000e+01	-4.868252e-03	-3.785000e+01	-2.210814e-02	-2.585000e+01	-1.679513e-02	-2.585000e+01	-2.989727e-02	-2.585000e+01	1.291956e-02	-2.585000e+01	-3.403243e-02
-3.585000e+01	-4.929974e-02	-3.585000e+01	-1.775122e-02	-3.585000e+01	-6.157453e-02	-3.585000e+01	-6.857348e-02	-2.385000e+01	1.181727e-03	-2.385000e+01	5.447100e-02	-2.385000e+01	-2.214605e-02	-2.385000e+01	5.153511e-03
-3.385000e+01	3.155155e-02	-3.385000e+01	8.300374e-02	-3.385000e+01	7.437193e-03	-3.385000e+01	4.213709e-03	-2.185000e+01	-5.985868e-02	-2.185000e+01	3.022377e-02	-2.185000e+01	-2.382241e-02	-2.185000e+01	1.312406e-02
-3.185000e+01	-4.199004e-04	-3.185000e+01	2.565851e-02	-3.185000e+01	4.809327e-03	-3.185000e+01	-2.019046e-03	-1.985000e+01	1.186719e-02	-1.985000e+01	-2.072264e-02	-1.985000e+01	-1.570492e-04	-1.985000e+01	-9.637393e-03
-2.985000e+01	8.104890e-03	-2.985000e+01	5.316993e-03	-2.985000e+01	1.412714e-03	-2.985000e+01	8.424541e-03	-1.785000e+01	1.532453e-02	-1.785000e+01	-1.327021e-02	-1.785000e+01	-1.623052e-02	-1.785000e+01	-1.933958e-02
-2.785000e+01	-6.621410e-03	-2.785000e+01	-2.860667e-02	-2.785000e+01	-4.155575e-02	-2.785000e+01	1.410340e-02	-1.585000e+01	-7.691434e-03	-1.585000e+01	-1.933782e-02	-1.585000e+01	3.662564e-02	-1.585000e+01	2.175210e-02
-2.585000e+01	-9.500941e-03	-2.585000e+01	-2.344989e-02	-2.585000e+01	-4.105594e-02	-2.585000e+01	6.580451e-02	-1.385000e+01	2.355730e-02	-1.385000e+01	-3.873579e-02	-1.385000e+01	-5.330129e-02	-1.385000e+01	2.895459e-02
