# Delay[ns]	Avg Transient	0195 Delay[ns]	0195 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	0198 Delay[ns]	0198 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
-4.385000e+01	1.763597e-02	-4.385000e+01	2.967110e-02	-4.385000e+01	7.923589e-03	-4.385000e+01	1.531324e-02	-3.185000e+01	3.520375e-03	-3.185000e+01	-8.428821e-03	-3.185000e+01	-1.123440e-02	-3.185000e+01	-3.559558e-02
-4.185000e+01	-1.475111e-03	-4.185000e+01	1.715465e-02	-4.185000e+01	5.640643e-04	-4.185000e+01	-2.214405e-02	-2.985000e+01	-5.855305e-03	-2.985000e+01	2.439958e-02	-2.985000e+01	3.743143e-03	-2.985000e+01	-1.671215e-02
-3.985000e+01	1.663146e-03	-3.985000e+01	-1.564453e-02	-3.985000e+01	2.882788e-02	-3.985000e+01	-8.193917e-03	-2.785000e+01	-3.995339e-03	-2.785000e+01	-9.494914e-03	-2.785000e+01	-4.581815e-03	-2.785000e+01	3.135843e-02
-3.785000e+01	3.397388e-04	-3.785000e+01	-7.510641e-03	-3.785000e+01	-1.818095e-02	-3.785000e+01	2.671080e-02	-2.585000e+01	-1.248787e-02	-2.585000e+01	-6.618155e-04	-2.585000e+01	-5.335948e-04	-2.585000e+01	-4.537950e-03
-3.585000e+01	-1.544885e-02	-3.585000e+01	-1.086979e-02	-3.585000e+01	-3.262426e-03	-3.585000e+01	-3.221434e-02	-2.385000e+01	-1.208587e-02	-2.385000e+01	2.293057e-03	-2.385000e+01	-8.863640e-03	-2.385000e+01	-1.239864e-03
-3.385000e+01	4.005840e-03	-3.385000e+01	1.510569e-02	-3.385000e+01	-1.140188e-03	-3.385000e+01	-1.947979e-03	-2.185000e+01	-2.747329e-02	-2.185000e+01	-2.528851e-02	-2.185000e+01	4.347045e-04	-2.185000e+01	8.803260e-03
-3.185000e+01	-2.530503e-03	-3.185000e+01	7.037786e-03	-3.185000e+01	2.418537e-02	-3.185000e+01	2.801740e-03	-1.985000e+01	-6.680074e-03	-1.985000e+01	1.926631e-02	-1.985000e+01	1.246070e-02	-1.985000e+01	-1.025181e-02
-2.985000e+01	-1.643339e-03	-2.985000e+01	-8.469393e-04	-2.985000e+01	-1.440068e-02	-2.985000e+01	-1.831026e-03	-1.785000e+01	9.475411e-03	-1.785000e+01	2.187339e-02	-1.785000e+01	-1.985614e-02	-1.785000e+01	5.578600e-03
-2.785000e+01	-2.393752e-03	-2.785000e+01	-1.009496e-02	-2.785000e+01	-1.572732e-02	-2.785000e+01	-4.220348e-03	-1.585000e+01	2.914521e-02	-1.585000e+01	-8.543461e-03	-1.585000e+01	9.803479e-03	-1.585000e+01	-1.049384e-02
-2.585000e+01	-5.755126e-03	-2.585000e+01	-6.967723e-03	-2.585000e+01	-3.897628e-02	-2.585000e+01	2.387935e-02	-1.385000e+01	-7.158005e-03	-1.385000e+01	-1.146706e-02	-1.385000e+01	1.572378e-03	-1.385000e+01	1.641821e-02
