# Delay[ns]	Avg Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
-3.185000e+01	-2.905915e-03	-3.185000e+01	-6.117045e-03	-3.185000e+01	1.565179e-02	-2.985000e+01	3.476329e-03
-2.985000e+01	-1.625505e-03	-2.985000e+01	-9.493599e-04	-2.985000e+01	-7.403485e-03	-2.785000e+01	-3.676459e-02
-2.585000e+01	1.248352e-02	-2.785000e+01	1.361246e-02	-2.785000e+01	-8.867840e-05	-2.385000e+01	1.097274e-02
-2.385000e+01	-4.191842e-03	-2.585000e+01	4.375463e-03	-2.385000e+01	-3.503858e-02	-2.185000e+01	-3.929051e-03
-2.185000e+01	9.599348e-03	-2.385000e+01	1.149031e-02	-1.985000e+01	1.262457e-02	-1.985000e+01	-1.802055e-02
-1.985000e+01	3.442591e-03	-2.185000e+01	1.146917e-02	-1.785000e+01	2.944195e-02	-1.785000e+01	1.387093e-02
-1.785000e+01	1.789923e-02	-1.985000e+01	1.572375e-02	-1.585000e+01	-3.955967e-02	-1.385000e+01	-7.427071e-03
-1.585000e+01	-1.622112e-02	-1.785000e+01	1.038481e-02	-1.185000e+01	-4.514617e-03	-1.185000e+01	-9.135251e-03
-1.185000e+01	-1.631676e-02	-1.585000e+01	-5.194742e-03	-7.850000e+00	-4.553787e-03	-9.850000e+00	1.055090e-02
-7.850000e+00	5.951011e-03	-1.185000e+01	-3.530041e-02	-5.850000e+00	-1.875638e-02	-7.850000e+00	1.571301e-02
-3.850000e+00	7.411705e-03	-7.850000e+00	6.693810e-03	-3.850000e+00	1.032897e-02	-5.850000e+00	2.810681e-02
-1.850000e+00	-3.584634e-03	-5.850000e+00	9.683453e-03	-1.850000e+00	-7.317707e-03	-3.850000e+00	7.185030e-03
1.500000e-01	1.232141e-02	-3.850000e+00	4.721113e-03	1.500000e-01	-1.437062e-02	-1.850000e+00	-2.366331e-02
2.150000e+00	7.090234e-03	-1.850000e+00	2.022711e-02	2.150000e+00	-2.172474e-02	1.500000e-01	4.432997e-02
4.150000e+00	1.102381e-02	1.500000e-01	7.004869e-03	4.150000e+00	-2.192809e-02	2.150000e+00	3.729634e-02
6.150000e+00	1.387317e-02	2.150000e+00	5.699101e-03	6.150000e+00	8.351554e-03	6.150000e+00	1.906036e-02
8.150000e+00	2.011231e-02	4.150000e+00	7.251386e-03	8.150000e+00	-6.185985e-03	8.150000e+00	2.687335e-02
1.015000e+01	1.323792e-02	6.150000e+00	1.420761e-02	1.015000e+01	-2.852843e-03	1.015000e+01	2.539106e-02
1.215000e+01	5.422239e-03	8.150000e+00	3.964958e-02	1.215000e+01	-2.414631e-03	1.415000e+01	-5.855526e-03
1.415000e+01	5.500464e-03	1.015000e+01	1.717554e-02	1.415000e+01	-1.766825e-02	1.615000e+01	1.793833e-02
1.615000e+01	4.736129e-03	1.415000e+01	4.002517e-02	1.615000e+01	-4.127222e-02	1.815000e+01	3.592340e-03
1.815000e+01	7.600116e-03	1.615000e+01	3.754228e-02	1.815000e+01	4.849566e-04	2.015000e+01	2.911370e-02
2.015000e+01	7.487781e-03	2.015000e+01	-1.915694e-02	2.015000e+01	1.250658e-02	2.215000e+01	2.444034e-02
2.215000e+01	1.327620e-02	2.415000e+01	8.305358e-04	2.215000e+01	-5.041624e-03	2.415000e+01	4.333119e-02
2.415000e+01	2.012814e-02	2.815000e+01	1.200236e-02	2.615000e+01	9.248741e-04	2.615000e+01	4.308506e-02
2.615000e+01	2.583413e-02	3.015000e+01	8.144852e-03	2.815000e+01	-6.304287e-03	2.815000e+01	4.484701e-02
2.815000e+01	1.684836e-02	3.415000e+01	1.538049e-02	3.015000e+01	2.768287e-02	3.015000e+01	3.726344e-02
3.015000e+01	2.436372e-02	3.615000e+01	2.424101e-02	3.215000e+01	-2.303216e-02	3.215000e+01	-9.657003e-03
3.215000e+01	-1.321145e-02	3.815000e+01	3.346547e-02	3.415000e+01	2.954260e-03	3.415000e+01	3.068084e-02
3.615000e+01	1.767178e-02	4.215000e+01	1.005864e-02	3.615000e+01	9.706623e-05	3.615000e+01	2.867727e-02
3.815000e+01	3.052611e-02	4.415000e+01	1.486395e-02	3.815000e+01	-3.653850e-03	3.815000e+01	6.176671e-02
4.215000e+01	1.772967e-02	4.615000e+01	9.441748e-03	4.015000e+01	1.275631e-02	4.015000e+01	2.238894e-02
4.615000e+01	2.893124e-03	4.815000e+01	3.076149e-03	4.215000e+01	1.911483e-02	4.215000e+01	2.401553e-02
4.815000e+01	4.154418e-04	5.015000e+01	-4.622089e-03	4.415000e+01	1.560179e-02	4.415000e+01	-2.428618e-02
5.015000e+01	-2.757704e-03	5.215000e+01	4.528509e-03	4.615000e+01	9.835378e-03	4.615000e+01	-1.059775e-02
5.415000e+01	-6.730801e-03	5.615000e+01	3.329342e-02	4.815000e+01	3.360700e-03	5.015000e+01	2.780051e-02
5.615000e+01	1.884031e-02	5.815000e+01	1.118529e-02	5.015000e+01	-3.145154e-02	5.215000e+01	2.686505e-02
5.815000e+01	1.985268e-02	6.015000e+01	1.633673e-02	5.215000e+01	-3.132318e-03	5.415000e+01	-1.472777e-03
6.015000e+01	4.440700e-03	6.215000e+01	8.620099e-03	5.415000e+01	-2.632558e-02	5.815000e+01	7.731074e-03
6.215000e+01	1.082792e-02	6.415000e+01	4.164441e-02	5.615000e+01	3.238433e-03	6.015000e+01	-1.618749e-03
6.415000e+01	3.171117e-03	6.615000e+01	1.707825e-02	5.815000e+01	4.064168e-02	6.215000e+01	1.101117e-02
6.615000e+01	1.142458e-02	6.815000e+01	6.144418e-03	6.215000e+01	1.285250e-02	6.415000e+01	-1.981730e-02
6.815000e+01	2.062445e-02	7.015000e+01	2.332118e-02	6.415000e+01	-1.231375e-02	6.615000e+01	5.431455e-03
7.215000e+01	7.511820e-03	7.215000e+01	-3.571681e-03	6.815000e+01	2.540248e-02	6.815000e+01	3.032645e-02
7.415000e+01	6.182543e-03	7.615000e+01	2.752671e-02	7.015000e+01	-2.840218e-02	7.015000e+01	1.636630e-02
7.615000e+01	9.245388e-03	7.815000e+01	5.624668e-03	7.415000e+01	-8.540924e-03	7.215000e+01	3.741590e-02
