# Delay[ns]	Avg Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
-3.185000e+01	2.922003e-03	-3.185000e+01	-8.590052e-04	-3.185000e+01	2.639691e-02	-3.185000e+01	-1.677190e-02
-2.985000e+01	2.884449e-03	-2.985000e+01	-4.163884e-03	-2.985000e+01	1.035230e-02	-2.985000e+01	2.464932e-03
-2.585000e+01	3.024573e-02	-2.785000e+01	1.358872e-02	-2.785000e+01	-2.555250e-02	-2.585000e+01	3.735691e-02
-2.385000e+01	-3.079407e-03	-2.385000e+01	2.141158e-02	-2.385000e+01	-7.519300e-02	-2.385000e+01	4.454320e-02
-2.185000e+01	7.709298e-03	-2.185000e+01	2.096041e-02	-1.985000e+01	2.551919e-02	-2.185000e+01	-2.083438e-02
-1.985000e+01	1.229352e-02	-1.985000e+01	2.168026e-02	-1.785000e+01	5.069526e-02	-1.985000e+01	-1.031890e-02
-1.785000e+01	2.797907e-02	-1.785000e+01	8.015341e-03	-1.585000e+01	-3.675582e-02	-1.785000e+01	2.522660e-02
-1.585000e+01	-1.003515e-02	-1.585000e+01	1.470188e-02	-1.185000e+01	-2.043203e-02	-1.585000e+01	-8.051522e-03
-1.385000e+01	-1.861601e-02	-1.385000e+01	-3.615356e-02	-9.850000e+00	1.165808e-02	-1.385000e+01	-2.293075e-02
-9.850000e+00	6.910926e-03	-9.850000e+00	-2.139011e-02	-7.850000e+00	-4.552604e-03	-1.185000e+01	-1.582157e-02
-5.850000e+00	1.173414e-02	-5.850000e+00	1.831650e-02	-5.850000e+00	-2.669690e-02	-9.850000e+00	3.046481e-02
-3.850000e+00	1.006379e-02	-1.850000e+00	3.466169e-02	-3.850000e+00	1.113981e-02	-7.850000e+00	4.213492e-02
-1.850000e+00	-2.676800e-03	1.500000e-01	-9.809072e-03	-1.850000e+00	-4.023482e-03	-5.850000e+00	4.358283e-02
1.500000e-01	1.455562e-02	2.150000e+00	1.389668e-02	1.500000e-01	-2.148781e-02	-3.850000e+00	1.579511e-02
2.150000e+00	4.125200e-03	4.150000e+00	-1.061576e-02	2.150000e+00	-3.525995e-02	-1.850000e+00	-3.866860e-02
