# Delay[ns]	Avg Transient	0137 Delay[ns]	0137 Transient	0138 Delay[ns]	0138 Transient	0139 Delay[ns]	0139 Transient
8.815000e+01	1.123288e-02	8.215000e+01	3.327272e-02	9.015000e+01	3.115489e-02	7.215000e+01	1.238084e-02
9.015000e+01	3.263429e-02	8.415000e+01	5.205408e-02	9.215000e+01	2.321761e-03	7.415000e+01	3.257764e-02
9.215000e+01	4.956727e-03	8.615000e+01	3.243078e-02	9.415000e+01	1.242145e-02	7.615000e+01	5.568639e-03
9.415000e+01	1.607826e-02	8.815000e+01	1.404870e-02	9.815000e+01	3.081773e-02	7.815000e+01	5.294494e-02
9.615000e+01	5.977304e-03	9.015000e+01	3.875828e-02	1.021500e+02	3.728758e-02	8.015000e+01	4.506338e-04
9.815000e+01	3.599687e-02	9.215000e+01	1.262052e-02	1.041500e+02	4.160217e-02	8.415000e+01	1.254501e-02
1.001500e+02	3.299450e-02	9.415000e+01	1.481465e-02	1.061500e+02	2.054139e-02	8.615000e+01	3.816868e-02
1.041500e+02	3.681900e-02	9.615000e+01	-9.404692e-03	1.101500e+02	-2.390264e-02	8.815000e+01	1.965936e-02
1.061500e+02	1.220999e-02	9.815000e+01	5.838734e-02	1.121500e+02	9.191009e-04	9.015000e+01	2.798971e-02
1.081500e+02	2.167802e-02	1.001500e+02	4.107838e-02	1.141500e+02	5.150337e-02	9.415000e+01	2.099869e-02
1.101500e+02	1.436304e-02	1.021500e+02	3.265518e-02	1.161500e+02	1.700097e-02	9.615000e+01	-1.623406e-03
1.121500e+02	2.132088e-02	1.041500e+02	5.795130e-02	1.181500e+02	3.470998e-02	9.815000e+01	1.878554e-02
1.141500e+02	4.383182e-02	1.061500e+02	-1.383791e-03	1.201500e+02	2.539677e-02	1.001500e+02	7.867352e-03
1.161500e+02	1.605680e-02	1.081500e+02	3.511586e-02	1.221500e+02	5.158408e-02	1.021500e+02	-1.537574e-02
1.181500e+02	3.619042e-02	1.101500e+02	5.379654e-02	1.241500e+02	2.948455e-02	1.041500e+02	1.090352e-02
1.201500e+02	2.100282e-02	1.121500e+02	3.284215e-02	1.261500e+02	1.764818e-02	1.061500e+02	1.747239e-02
1.221500e+02	2.634960e-02	1.141500e+02	5.265222e-02	1.281500e+02	-2.688025e-02	1.081500e+02	3.532674e-02
1.241500e+02	3.084842e-02	1.161500e+02	-4.261798e-03	1.301500e+02	4.104758e-02	1.101500e+02	1.319524e-02
