# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
-4.585000e+01	-1.135844e-05	-4.585000e+01	5.429374e-03	-4.585000e+01	-1.585239e-02	-3.985000e+01	-2.217117e-03	-4.785000e+01	-7.456342e-03	-4.785000e+01	2.108163e-02	-4.585000e+01	-3.322969e-03
-4.185000e+01	-4.055355e-02	-4.385000e+01	-1.699882e-02	-4.185000e+01	3.048214e-03	-3.585000e+01	-7.787787e-04	-4.585000e+01	1.991953e-02	-4.585000e+01	-6.230334e-03	-4.185000e+01	1.116692e-02
-3.785000e+01	-4.167253e-03	-3.985000e+01	9.453521e-04	-3.785000e+01	-1.755702e-02	-3.385000e+01	-1.431556e-02	-4.185000e+01	-2.368500e-01	-4.185000e+01	1.769906e-02	-3.985000e+01	-6.316167e-03
-3.385000e+01	-5.340734e-03	-3.785000e+01	8.652542e-03	-3.585000e+01	4.267721e-03	-2.985000e+01	9.088281e-04	-3.785000e+01	-1.686825e-03	-3.985000e+01	1.515007e-03	-3.785000e+01	1.245577e-03
-2.985000e+01	-5.899803e-05	-3.585000e+01	-3.102455e-03	-3.385000e+01	-4.401592e-03	-2.785000e+01	-2.536221e-03	-3.385000e+01	5.429337e-03	-3.785000e+01	-3.733595e-03	-3.385000e+01	-3.170079e-03
-2.585000e+01	6.470577e-03	-3.385000e+01	-9.413385e-03	-2.985000e+01	1.029831e-02	-2.585000e+01	1.790692e-03	-3.185000e+01	-3.921530e-03	-3.585000e+01	6.798263e-03	-2.985000e+01	-1.558804e-03
-2.185000e+01	4.097345e-03	-2.985000e+01	3.587512e-04	-2.785000e+01	6.034316e-03	-2.385000e+01	2.044261e-02	-2.785000e+01	1.127477e-02	-3.385000e+01	-6.173123e-03	-2.585000e+01	4.498914e-03
-1.785000e+01	5.231247e-03	-2.585000e+01	2.293864e-02	-2.585000e+01	4.817801e-02	-2.185000e+01	-7.730297e-04	-2.585000e+01	-3.452353e-02	-3.185000e+01	1.201071e-02	-2.185000e+01	3.479816e-03
-1.385000e+01	-7.332214e-03	-2.185000e+01	1.121088e-02	-2.185000e+01	1.829609e-02	-1.985000e+01	-3.807056e-03	-2.385000e+01	7.423279e-03	-2.985000e+01	-9.347702e-03	-1.985000e+01	-8.828232e-03
-9.850000e+00	-2.952309e-03	-1.785000e+01	2.297959e-02	-1.985000e+01	1.792169e-02	-1.785000e+01	1.394044e-02	-2.185000e+01	-8.909119e-03	-2.585000e+01	-4.059266e-03	-1.585000e+01	-2.912614e-02
-7.850000e+00	1.636348e-03	-1.385000e+01	-3.968171e-04	-1.785000e+01	-3.522113e-03	-1.585000e+01	-3.318235e-03	-1.985000e+01	-6.359316e-03	-2.385000e+01	9.454460e-03	-1.385000e+01	-1.747035e-02
-3.850000e+00	-4.190237e-03	-1.185000e+01	8.510135e-03	-1.385000e+01	-1.084229e-02	-1.385000e+01	-1.301265e-02	-1.585000e+01	1.613907e-02	-2.185000e+01	1.279434e-03	-1.185000e+01	1.498790e-02
1.500000e-01	1.083577e-01	-7.850000e+00	-3.225803e-02	-1.185000e+01	-8.597671e-03	-1.185000e+01	2.973740e-03	-1.385000e+01	-1.103329e-02	-1.985000e+01	-3.081394e-02	-9.850000e+00	-2.629214e-02
4.150000e+00	6.845788e-02	-5.850000e+00	2.492296e-03	-9.850000e+00	4.830917e-03	-7.850000e+00	7.921513e-03	-1.185000e+01	-4.138009e-03	-1.785000e+01	1.991640e-03	-7.850000e+00	5.531831e-03
8.150000e+00	5.504232e-02	-1.850000e+00	-7.934627e-03	-7.850000e+00	2.010538e-02	-5.850000e+00	7.700167e-04	-9.850000e+00	-3.891318e-03	-1.385000e+01	8.762104e-03	-3.850000e+00	1.888855e-02
1.215000e+01	4.858791e-02	1.500000e-01	1.436520e-01	-5.850000e+00	-1.527134e-02	-3.850000e+00	-2.631149e-02	-5.850000e+00	-4.777746e-03	-1.185000e+01	-1.391946e-02	-1.850000e+00	-1.828012e-02
1.615000e+01	4.605059e-02	4.150000e+00	5.741791e-02	-3.850000e+00	-1.310056e-02	-1.850000e+00	2.030687e-02	-3.850000e+00	-1.514700e-02	-9.850000e+00	-1.218101e-03	2.150000e+00	8.282957e-02
2.015000e+01	4.354976e-02	8.150000e+00	5.968543e-02	1.500000e-01	9.908507e-02	1.500000e-01	1.058454e-01	1.500000e-01	1.033906e-01	-7.850000e+00	-8.892549e-05	6.150000e+00	7.664228e-02
2.415000e+01	4.661588e-02	1.015000e+01	7.352568e-02	4.150000e+00	7.503204e-02	4.150000e+00	7.392165e-02	2.150000e+00	7.215002e-02	-3.850000e+00	6.754089e-03	8.150000e+00	6.181468e-02
2.815000e+01	4.865848e-02	1.215000e+01	4.359213e-02	6.150000e+00	6.278796e-02	6.150000e+00	5.371663e-02	4.150000e+00	5.371397e-02	-1.850000e+00	-1.201217e-02	1.215000e+01	6.044210e-02
3.215000e+01	4.761371e-02	1.615000e+01	4.246022e-02	8.150000e+00	5.449550e-02	1.015000e+01	6.228472e-02	6.150000e+00	3.988286e-02	1.500000e-01	9.015340e-02	1.415000e+01	6.195094e-02
3.615000e+01	2.389626e-02	1.815000e+01	4.075050e-02	1.215000e+01	3.097769e-02	1.415000e+01	3.427827e-02	8.150000e+00	3.898245e-02	4.150000e+00	7.048784e-02	1.615000e+01	5.826267e-02
4.015000e+01	2.970175e-02	2.015000e+01	6.388010e-02	1.615000e+01	4.283372e-02	1.815000e+01	1.238383e-02	1.215000e+01	4.416739e-02	6.150000e+00	6.290091e-02	1.815000e+01	5.151460e-02
4.415000e+01	3.831313e-02	2.415000e+01	6.495809e-02	1.815000e+01	3.852316e-02	2.215000e+01	6.716823e-02	1.415000e+01	1.818279e-02	1.015000e+01	4.348780e-02	2.215000e+01	6.540551e-02
4.815000e+01	3.522279e-02	2.815000e+01	5.197853e-02	2.215000e+01	4.372262e-02	2.615000e+01	6.073978e-02	1.815000e+01	2.905391e-02	1.415000e+01	1.559525e-02	2.615000e+01	3.177375e-02
5.215000e+01	2.644096e-02	3.215000e+01	4.956523e-02	2.615000e+01	8.933252e-02	3.015000e+01	6.103707e-02	2.215000e+01	2.689813e-02	1.815000e+01	1.966263e-02	3.015000e+01	2.292861e-02
5.615000e+01	2.824215e-02	3.615000e+01	3.317439e-02	3.015000e+01	2.926750e-02	3.415000e+01	3.588232e-02	2.615000e+01	3.430632e-02	2.215000e+01	3.681067e-02	3.415000e+01	4.707175e-02
6.015000e+01	2.759914e-02	4.015000e+01	6.274487e-02	3.415000e+01	5.497990e-02	3.615000e+01	2.104884e-02	3.015000e+01	2.978425e-02	2.615000e+01	1.033874e-02	3.815000e+01	2.927753e-02
6.415000e+01	2.895181e-02	4.415000e+01	5.250216e-02	3.815000e+01	4.084047e-02	4.015000e+01	1.031711e-02	3.415000e+01	1.891501e-02	3.015000e+01	2.508585e-02	4.215000e+01	5.088320e-02
6.815000e+01	2.356970e-02	4.815000e+01	3.229821e-02	4.215000e+01	2.866849e-02	4.215000e+01	9.170646e-03	3.815000e+01	6.123438e-02	3.415000e+01	2.339267e-02	4.615000e+01	4.392690e-02
