# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
-3.850000e+00	-1.166532e-02	-1.185000e+01	1.784054e-02	-7.850000e+00	2.364702e-02	-7.850000e+00	2.524735e-02	-7.850000e+00	6.006658e-03	-1.585000e+01	-3.205259e-02	-1.585000e+01	-2.460800e-02
-1.850000e+00	3.067729e-03	-9.850000e+00	2.053402e-02	-3.850000e+00	-1.268192e-02	-3.850000e+00	-1.820520e-02	-5.850000e+00	-2.341257e-02	-1.385000e+01	-8.271793e-03	-1.385000e+01	-6.327617e-03
1.500000e-01	-4.336834e-02	-7.850000e+00	-5.810622e-02	-1.850000e+00	1.277588e-03	-1.850000e+00	-1.790959e-03	-3.850000e+00	-8.892223e-03	-1.185000e+01	-1.097369e-02	-1.185000e+01	2.793035e-02
4.150000e+00	-4.785019e-02	-5.850000e+00	-1.266073e-02	2.150000e+00	-5.138381e-02	1.500000e-01	-1.630960e-02	-1.850000e+00	4.571305e-02	-9.850000e+00	-1.109373e-02	-7.850000e+00	3.427442e-02
6.150000e+00	-4.518325e-02	-3.850000e+00	-6.037012e-03	4.150000e+00	-6.010111e-02	2.150000e+00	-2.901399e-02	1.500000e-01	-3.267013e-02	-7.850000e+00	2.556490e-02	-5.850000e+00	1.138590e-02
1.015000e+01	-2.548890e-02	1.500000e-01	-1.564449e-02	8.150000e+00	-4.532180e-02	4.150000e+00	-6.637323e-02	2.150000e+00	-6.164929e-02	-3.850000e+00	1.987431e-03	-1.850000e+00	-1.316267e-02
1.215000e+01	-2.500612e-02	2.150000e+00	-3.855671e-02	1.015000e+01	-3.624887e-02	6.150000e+00	-6.426064e-02	4.150000e+00	-2.498984e-02	-1.850000e+00	-1.538647e-02	1.500000e-01	-6.762511e-02
1.415000e+01	-1.648407e-02	4.150000e+00	-6.827343e-02	1.215000e+01	-5.507786e-02	1.015000e+01	-4.419166e-02	6.150000e+00	-5.191913e-02	1.500000e-01	-5.523851e-02	2.150000e+00	-4.272391e-02
1.815000e+01	-2.005659e-02	6.150000e+00	-3.622907e-02	1.415000e+01	-2.042046e-02	1.415000e+01	-3.482607e-03	1.015000e+01	-1.009736e-02	2.150000e+00	-3.707363e-02	4.150000e+00	-4.745865e-02
2.215000e+01	9.256790e-04	8.150000e+00	-3.674537e-04	1.815000e+01	-7.686379e-03	1.615000e+01	-6.010030e-02	1.215000e+01	-3.944460e-02	6.150000e+00	-6.306645e-03	8.150000e+00	-1.415342e-02
2.615000e+01	-2.271805e-02	1.015000e+01	-1.395374e-02	2.215000e+01	-1.597054e-02	1.815000e+01	-5.734877e-02	1.615000e+01	-8.729607e-03	8.150000e+00	-3.501234e-02	1.215000e+01	5.899662e-04
3.015000e+01	-1.418762e-02	1.415000e+01	-9.820823e-03	2.615000e+01	-1.891764e-02	2.015000e+01	1.402612e-02	1.815000e+01	-8.143200e-03	1.015000e+01	-2.502186e-02	1.615000e+01	2.833648e-02
3.415000e+01	-2.875441e-02	1.615000e+01	-4.626119e-02	3.015000e+01	-1.796790e-02	2.215000e+01	4.829690e-03	2.215000e+01	2.121495e-03	1.215000e+01	-2.419144e-02	1.815000e+01	-7.614231e-03
