# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
-4.415000e+01	-9.008797e-03	-4.415000e+01	-6.663742e-03	-4.415000e+01	-2.904454e-02	-4.415000e+01	-6.840610e-03	-4.415000e+01	2.092314e-02	-4.415000e+01	-2.341823e-02
-4.215000e+01	-5.551812e-04	-4.215000e+01	9.365985e-03	-4.215000e+01	-1.748350e-02	-4.215000e+01	2.017835e-02	-4.215000e+01	-1.050583e-02	-4.215000e+01	-4.330908e-03
-4.015000e+01	-1.247570e-02	-4.015000e+01	-2.208246e-02	-4.015000e+01	-1.605815e-02	-4.015000e+01	-3.250499e-02	-4.015000e+01	-1.031973e-02	-4.015000e+01	1.858684e-02
-3.815000e+01	-2.924288e-02	-3.815000e+01	1.002137e-03	-3.815000e+01	4.420074e-03	-3.815000e+01	-1.815782e-01	-3.815000e+01	1.812815e-02	-3.815000e+01	1.181340e-02
-3.615000e+01	-2.161019e-03	-3.615000e+01	2.781348e-04	-3.615000e+01	7.651856e-03	-3.615000e+01	-1.524752e-02	-3.615000e+01	1.792685e-03	-3.615000e+01	-5.280253e-03
-3.415000e+01	-3.430475e-03	-3.415000e+01	1.130060e-02	-3.415000e+01	-2.047684e-02	-3.415000e+01	-5.596936e-03	-3.415000e+01	-2.293267e-03	-3.415000e+01	-8.593264e-05
-3.215000e+01	-1.980410e-03	-3.215000e+01	-4.327861e-03	-3.215000e+01	1.772635e-03	-3.215000e+01	-1.284802e-02	-3.215000e+01	4.062458e-03	-3.215000e+01	1.438737e-03
-3.015000e+01	-4.669579e-03	-3.015000e+01	-1.283000e-02	-3.015000e+01	-3.852685e-03	-3.015000e+01	3.383923e-03	-3.015000e+01	-7.443277e-03	-3.015000e+01	-2.605854e-03
-2.815000e+01	5.653249e-04	-2.815000e+01	-1.023769e-02	-2.815000e+01	-2.526020e-03	-2.815000e+01	-6.801911e-03	-2.815000e+01	1.409836e-02	-2.815000e+01	8.293888e-03
-2.615000e+01	-1.197049e-03	-2.615000e+01	3.156622e-03	-2.615000e+01	5.865678e-03	-2.615000e+01	-4.879605e-03	-2.615000e+01	-1.258800e-02	-2.615000e+01	2.460059e-03
-2.415000e+01	9.366865e-03	-2.415000e+01	-1.742049e-03	-2.415000e+01	2.175207e-03	-2.415000e+01	1.040420e-02	-2.415000e+01	2.015753e-02	-2.415000e+01	1.583943e-02
-2.215000e+01	7.970994e-03	-2.215000e+01	2.869598e-02	-2.215000e+01	5.054747e-02	-2.215000e+01	-3.886128e-02	-2.215000e+01	-4.377988e-03	-2.215000e+01	3.850781e-03
-2.015000e+01	4.514086e-03	-2.015000e+01	-1.202482e-02	-2.015000e+01	1.871784e-03	-2.015000e+01	3.459021e-03	-2.015000e+01	1.009359e-02	-2.015000e+01	1.917085e-02
-1.815000e+01	5.530153e-03	-1.815000e+01	1.295272e-02	-1.815000e+01	2.038196e-02	-1.815000e+01	-1.152350e-02	-1.815000e+01	5.050138e-04	-1.815000e+01	5.334564e-03
-1.615000e+01	-5.374721e-03	-1.615000e+01	-5.405941e-03	-1.615000e+01	2.228347e-02	-1.615000e+01	-6.375315e-03	-1.615000e+01	-2.891595e-02	-1.615000e+01	-8.459871e-03
-1.415000e+01	2.442429e-03	-1.415000e+01	2.408231e-02	-1.415000e+01	-3.977610e-03	-1.415000e+01	-2.458344e-02	-1.415000e+01	4.541845e-03	-1.415000e+01	1.214904e-02
-1.215000e+01	-1.840812e-03	-1.215000e+01	-4.166854e-03	-1.215000e+01	-1.519190e-04	-1.215000e+01	1.335694e-02	-1.215000e+01	9.282929e-03	-1.215000e+01	-2.752515e-02
-1.015000e+01	-6.707969e-03	-1.015000e+01	3.800299e-03	-1.015000e+01	-8.599506e-03	-1.015000e+01	-1.629717e-02	-1.015000e+01	8.072328e-03	-1.015000e+01	-2.051580e-02
-8.150000e+00	-3.091963e-03	-8.150000e+00	3.237253e-03	-8.150000e+00	-1.340221e-02	-8.150000e+00	-1.221616e-02	-8.150000e+00	-1.129774e-02	-8.150000e+00	1.821904e-02
-6.150000e+00	-5.038937e-03	-6.150000e+00	1.009951e-02	-6.150000e+00	5.127771e-03	-6.150000e+00	-6.511328e-03	-6.150000e+00	-2.492381e-03	-6.150000e+00	-3.141826e-02
-4.150000e+00	1.066924e-03	-4.150000e+00	-3.180555e-02	-4.150000e+00	2.453167e-02	-4.150000e+00	6.342925e-03	-4.150000e+00	2.036905e-03	-4.150000e+00	4.228673e-03
-2.150000e+00	-5.273930e-03	-2.150000e+00	4.040468e-03	-2.150000e+00	-1.493658e-02	-2.150000e+00	-5.483692e-03	-2.150000e+00	-1.821492e-02	-2.150000e+00	8.225075e-03
