# Delay[ns]	Avg Transient	0159 Delay[ns]	0159 Transient	0160 Delay[ns]	0160 Transient	0161 Delay[ns]	0161 Transient	0168 Delay[ns]	0168 Transient	0170 Delay[ns]	0170 Transient	0172 Delay[ns]	0172 Transient	0173 Delay[ns]	0173 Transient	0176 Delay[ns]	0176 Transient
-4.385000e+01	3.812270e-03	-3.985000e+01	8.656390e-03	-3.985000e+01	7.828012e-03	-3.985000e+01	-3.065844e-03	-4.185000e+01	2.023882e-03	-4.385000e+01	5.334402e-03	-4.185000e+01	9.898559e-03	-4.385000e+01	1.203586e-02	-4.385000e+01	1.165705e-02
-4.185000e+01	1.290932e-03	-3.785000e+01	-4.288350e-03	-3.785000e+01	-4.766026e-05	-3.785000e+01	1.678850e-02	-3.785000e+01	2.348493e-02	-4.185000e+01	6.360897e-03	-3.985000e+01	2.240895e-02	-4.185000e+01	3.685808e-03	-4.185000e+01	8.187144e-03
-3.985000e+01	5.400768e-03	-3.585000e+01	-6.347231e-03	-3.585000e+01	2.442114e-03	-3.385000e+01	9.886402e-03	-3.585000e+01	-1.914808e-03	-3.985000e+01	8.348501e-03	-3.785000e+01	9.743004e-03	-3.985000e+01	5.966909e-04	-3.985000e+01	4.981809e-03
-3.785000e+01	5.175345e-03	-3.385000e+01	-8.869947e-03	-3.385000e+01	1.100096e-02	-3.185000e+01	-5.352947e-03	-3.385000e+01	-2.354739e-03	-3.785000e+01	1.150712e-02	-3.585000e+01	-1.521090e-02	-3.785000e+01	3.283245e-03	-3.585000e+01	1.606924e-03
-3.385000e+01	3.064199e-03	-2.985000e+01	-1.656479e-02	-3.185000e+01	3.085990e-03	-2.985000e+01	-7.095382e-03	-3.185000e+01	-7.929642e-03	-3.585000e+01	-2.987789e-03	-3.185000e+01	-1.373942e-02	-3.385000e+01	1.438764e-02	-3.385000e+01	2.129928e-03
-3.185000e+01	-7.569682e-03	-2.785000e+01	7.806584e-03	-2.985000e+01	-8.204107e-03	-2.785000e+01	1.136186e-02	-2.785000e+01	-1.630001e-02	-3.185000e+01	2.397456e-03	-2.985000e+01	-3.251957e-03	-3.185000e+01	-1.259016e-02	-3.185000e+01	-3.326503e-02
-2.785000e+01	1.479702e-03	-2.385000e+01	-2.433371e-03	-2.785000e+01	-5.902295e-03	-2.585000e+01	-2.224724e-04	-2.585000e+01	6.603940e-04	-2.985000e+01	-7.024479e-03	-2.585000e+01	7.847327e-03	-2.785000e+01	4.087609e-03	-2.785000e+01	6.720240e-03
-2.385000e+01	-1.717153e-03	-2.185000e+01	-2.067399e-03	-2.585000e+01	-3.440905e-03	-2.385000e+01	-2.563396e-02	-2.185000e+01	1.384807e-02	-2.785000e+01	2.366170e-03	-2.385000e+01	-1.216352e-02	-2.585000e+01	-1.198913e-02	-2.585000e+01	8.366554e-03
-2.185000e+01	8.388376e-04	-1.785000e+01	-2.276855e-03	-2.385000e+01	8.578403e-03	-2.185000e+01	-2.281839e-03	-1.985000e+01	-1.062496e-02	-2.585000e+01	-3.445805e-03	-2.185000e+01	1.259411e-03	-2.385000e+01	-1.850404e-03	-2.385000e+01	2.206612e-03
-1.985000e+01	-3.562033e-03	-1.585000e+01	-1.479758e-02	-2.185000e+01	-1.428817e-02	-1.785000e+01	-1.250747e-02	-1.785000e+01	7.145325e-03	-2.385000e+01	1.215332e-02	-1.985000e+01	-7.993636e-03	-2.185000e+01	2.119721e-02	-2.185000e+01	-5.473331e-03
-1.585000e+01	-2.528615e-03	-1.385000e+01	5.830407e-03	-1.785000e+01	3.556608e-03	-1.585000e+01	8.371780e-03	-1.585000e+01	-1.610037e-03	-2.185000e+01	-5.483245e-03	-1.585000e+01	-5.749007e-03	-1.985000e+01	1.369607e-02	-1.985000e+01	-7.236894e-03
-1.385000e+01	-7.845717e-04	-1.185000e+01	4.581585e-03	-1.585000e+01	1.049429e-02	-1.385000e+01	-4.012527e-03	-1.185000e+01	4.646308e-03	-1.985000e+01	-1.477746e-02	-1.385000e+01	-2.821355e-03	-1.785000e+01	-7.173914e-03	-1.785000e+01	-3.464641e-03
-9.850000e+00	-2.830996e-03	-9.850000e+00	9.710009e-03	-1.385000e+01	3.335387e-03	-1.185000e+01	2.994121e-04	-9.850000e+00	-1.207019e-02	-1.585000e+01	-2.530012e-03	-9.850000e+00	5.641618e-03	-1.585000e+01	-1.454042e-02	-1.385000e+01	9.085195e-06
-5.850000e+00	4.795173e-05	-5.850000e+00	2.197358e-03	-1.185000e+01	-1.575248e-02	-9.850000e+00	-1.206621e-02	-7.850000e+00	-1.060181e-02	-1.385000e+01	-4.268796e-03	-7.850000e+00	-6.357531e-03	-1.385000e+01	-1.311877e-03	-1.185000e+01	1.375547e-02
-1.850000e+00	4.225209e-03	-3.850000e+00	9.001722e-03	-9.850000e+00	8.751446e-03	-7.850000e+00	-1.280657e-02	-5.850000e+00	2.091027e-03	-1.185000e+01	-2.055584e-03	-3.850000e+00	8.906123e-03	-9.850000e+00	7.709999e-04	-9.850000e+00	-4.696169e-03
1.500000e-01	2.120222e-02	-1.850000e+00	3.902225e-03	-5.850000e+00	1.337382e-02	-5.850000e+00	-1.141864e-02	-3.850000e+00	-8.399892e-03	-9.850000e+00	-1.868947e-02	-1.850000e+00	-6.991948e-03	-7.850000e+00	-5.078929e-03	-7.850000e+00	1.074989e-03
2.150000e+00	1.356096e-02	1.500000e-01	1.908092e-03	-3.850000e+00	8.631320e-04	-3.850000e+00	-2.557225e-03	1.500000e-01	3.353891e-02	-7.850000e+00	2.236214e-03	2.150000e+00	5.587566e-03	-5.850000e+00	-5.171304e-03	-5.850000e+00	-7.387689e-03
6.150000e+00	1.531977e-02	2.150000e+00	2.172481e-02	-1.850000e+00	-7.790207e-03	-1.850000e+00	4.642596e-03	4.150000e+00	2.612648e-02	-3.850000e+00	-7.044317e-03	4.150000e+00	3.015249e-02	-3.850000e+00	-1.031378e-02	-3.850000e+00	1.159437e-02
1.015000e+01	1.306639e-02	4.150000e+00	-6.801699e-03	1.500000e-01	2.437342e-02	1.500000e-01	1.140395e-02	6.150000e+00	2.814208e-02	-1.850000e+00	9.242310e-03	8.150000e+00	2.644223e-02	-1.850000e+00	7.780936e-03	-1.850000e+00	2.351796e-03
1.215000e+01	2.002792e-02	6.150000e+00	-4.865726e-03	2.150000e+00	1.641554e-02	2.150000e+00	-6.417007e-03	1.015000e+01	2.988877e-02	1.500000e-01	3.698534e-02	1.015000e+01	1.138165e-02	1.500000e-01	1.759339e-02	2.150000e+00	3.124321e-02
1.415000e+01	1.761739e-02	8.150000e+00	5.823883e-03	4.150000e+00	7.793466e-03	4.150000e+00	6.479291e-03	1.215000e+01	2.976559e-02	2.150000e+00	9.984692e-03	1.215000e+01	2.215884e-02	2.150000e+00	1.050970e-02	4.150000e+00	2.203197e-02
1.615000e+01	2.000225e-02	1.015000e+01	8.643309e-03	8.150000e+00	1.550143e-02	6.150000e+00	-2.788211e-03	1.615000e+01	2.757635e-02	4.150000e+00	2.343035e-02	1.615000e+01	2.625569e-02	4.150000e+00	-8.854497e-03	6.150000e+00	3.578698e-02
2.015000e+01	1.530548e-02	1.415000e+01	1.613685e-02	1.215000e+01	2.261864e-02	8.150000e+00	1.456844e-02	1.815000e+01	2.810649e-02	8.150000e+00	2.919069e-02	1.815000e+01	1.235278e-02	6.150000e+00	1.030356e-02	8.150000e+00	1.917099e-02
2.215000e+01	1.381218e-02	1.615000e+01	6.530007e-03	1.415000e+01	8.853841e-03	1.015000e+01	-1.732879e-03	2.015000e+01	3.304662e-02	1.015000e+01	2.276301e-02	2.015000e+01	2.759663e-02	8.150000e+00	2.337084e-02	1.215000e+01	1.231361e-02
2.415000e+01	1.661245e-02	1.815000e+01	1.196190e-02	1.615000e+01	1.808483e-02	1.215000e+01	-7.854835e-04	2.215000e+01	2.475091e-02	1.415000e+01	2.585736e-02	2.415000e+01	2.389248e-02	1.015000e+01	9.375069e-03	1.415000e+01	3.552639e-02
2.815000e+01	1.536618e-02	2.015000e+01	-2.335100e-03	1.815000e+01	3.758358e-03	1.615000e+01	1.187761e-02	2.415000e+01	2.415691e-02	1.815000e+01	3.219381e-02	2.815000e+01	1.699321e-02	1.215000e+01	2.449140e-02	1.815000e+01	2.520369e-02
3.215000e+01	1.185163e-02	2.215000e+01	2.057733e-02	2.015000e+01	-5.297141e-03	1.815000e+01	8.871985e-03	2.815000e+01	3.040847e-02	2.215000e+01	1.312022e-02	3.015000e+01	1.178527e-02	1.615000e+01	2.200311e-02	2.015000e+01	6.632278e-03
3.415000e+01	1.419949e-02	2.415000e+01	1.502514e-02	2.415000e+01	1.650786e-02	2.015000e+01	2.332834e-02	3.215000e+01	2.039463e-02	2.615000e+01	1.936499e-02	3.215000e+01	2.180358e-02	1.815000e+01	1.593012e-02	2.215000e+01	2.115938e-02
3.815000e+01	1.638480e-02	2.815000e+01	3.956369e-03	2.615000e+01	4.547789e-03	2.215000e+01	-1.377623e-02	3.415000e+01	1.279284e-02	3.015000e+01	2.418188e-02	3.415000e+01	2.329618e-02	2.215000e+01	1.821547e-02	2.415000e+01	1.087311e-02
4.215000e+01	8.816649e-03	3.015000e+01	3.094834e-03	3.015000e+01	-2.849727e-03	2.415000e+01	-3.726182e-04	3.615000e+01	2.394788e-02	3.415000e+01	1.757671e-02	3.615000e+01	1.305574e-02	2.615000e+01	2.384702e-02	2.815000e+01	2.081546e-02
4.615000e+01	1.067825e-02	3.215000e+01	1.021489e-02	3.215000e+01	1.097186e-04	2.615000e+01	7.935133e-03	3.815000e+01	1.671493e-02	3.815000e+01	2.245198e-02	3.815000e+01	2.409206e-02	2.815000e+01	1.846447e-02	3.015000e+01	1.893935e-02
5.015000e+01	7.424190e-03	3.415000e+01	1.274923e-02	3.415000e+01	6.785911e-03	3.015000e+01	1.987568e-03	4.215000e+01	1.704186e-02	4.215000e+01	4.958816e-03	4.015000e+01	2.187588e-02	3.015000e+01	2.303015e-02	3.215000e+01	3.338954e-03
