# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
-4.585000e+01	-2.863950e-04	-4.585000e+01	6.468669e-03	-4.585000e+01	-1.578539e-02	-3.985000e+01	-2.438258e-03	-4.785000e+01	-7.805540e-03	-4.785000e+01	1.968300e-02	-4.585000e+01	-2.660430e-03
-4.185000e+01	-4.267269e-02	-4.385000e+01	-1.683819e-02	-4.185000e+01	3.185882e-03	-3.785000e+01	-4.397124e-03	-4.585000e+01	1.997467e-02	-4.385000e+01	-1.074433e-02	-4.185000e+01	9.353221e-03
-3.785000e+01	-3.037749e-03	-3.985000e+01	1.329352e-03	-3.785000e+01	-1.710583e-02	-3.585000e+01	-1.328263e-03	-4.185000e+01	-2.430791e-01	-3.985000e+01	9.797585e-04	-3.985000e+01	-7.241723e-03
-3.385000e+01	-5.161426e-03	-3.785000e+01	8.237045e-03	-3.585000e+01	4.052492e-03	-3.185000e+01	1.473621e-02	-3.785000e+01	-2.487833e-03	-3.785000e+01	-4.137990e-03	-3.785000e+01	1.665241e-03
-2.985000e+01	3.764277e-05	-3.585000e+01	-4.378689e-03	-3.385000e+01	-4.402191e-03	-2.985000e+01	5.287826e-04	-3.585000e+01	-1.137484e-02	-3.585000e+01	6.799756e-03	-3.385000e+01	-3.254077e-03
-2.585000e+01	6.287734e-03	-3.385000e+01	-9.862591e-03	-2.985000e+01	9.782075e-03	-2.785000e+01	-2.562168e-03	-3.385000e+01	5.905738e-03	-3.385000e+01	-5.453843e-03	-2.985000e+01	-1.912373e-03
-2.185000e+01	3.101272e-03	-2.985000e+01	9.360427e-05	-2.785000e+01	6.634860e-03	-2.585000e+01	1.599781e-03	-2.985000e+01	4.137118e-04	-3.185000e+01	1.145606e-02	-2.585000e+01	6.550767e-04
-1.785000e+01	5.547409e-03	-2.585000e+01	2.294942e-02	-2.585000e+01	4.805362e-02	-2.385000e+01	1.981222e-02	-2.785000e+01	1.040463e-02	-2.985000e+01	-8.679943e-03	-2.185000e+01	3.407310e-03
-1.385000e+01	-6.866019e-03	-2.185000e+01	1.107457e-02	-2.385000e+01	-1.663242e-03	-2.185000e+01	-8.316625e-04	-2.585000e+01	-3.314247e-02	-2.785000e+01	2.060301e-02	-1.985000e+01	-8.858322e-03
-9.850000e+00	-3.383838e-03	-1.985000e+01	-1.959275e-04	-2.185000e+01	1.283894e-02	-1.985000e+01	-4.800932e-03	-2.385000e+01	8.952337e-03	-2.385000e+01	9.449894e-03	-1.585000e+01	-3.064749e-02
-5.850000e+00	-4.142960e-03	-1.585000e+01	-4.960463e-03	-1.985000e+01	1.768234e-02	-1.785000e+01	1.488644e-02	-2.185000e+01	-9.098611e-03	-2.185000e+01	1.217080e-03	-1.385000e+01	-1.563847e-02
-1.850000e+00	-1.326360e-03	-1.385000e+01	-5.759407e-04	-1.785000e+01	-3.853718e-03	-1.585000e+01	-4.001739e-03	-1.785000e+01	-1.530163e-02	-1.985000e+01	-3.143495e-02	-9.850000e+00	-2.707616e-02
2.150000e+00	7.966978e-02	-9.850000e+00	1.290292e-02	-1.585000e+01	-2.149586e-05	-1.385000e+01	-1.249960e-02	-1.585000e+01	1.792371e-02	-1.785000e+01	1.952531e-03	-7.850000e+00	6.537221e-03
6.150000e+00	5.883995e-02	-7.850000e+00	-3.226510e-02	-1.385000e+01	-1.101689e-02	-9.850000e+00	-5.904550e-04	-1.385000e+01	-1.487383e-02	-1.585000e+01	5.123355e-03	-3.850000e+00	1.984164e-02
